Name,Number,Position,Height,Weight,Class,Hometown
Craig James,1,CB,5100,191,SR,"Edwardsville, IL"
Jeremy Chinn,2,S,6020,202,SO,"Fishers, IN"
Airan Reed,3,LB,6020,230,SO,"Medina, TN"
Sam Straub,4,QB,6040,240,JR,"Ames, IA"
Roman Tatum,4,CB,5100,178,SR,"Winter Garden, FL"
Daquan Isom,5,RB,5080,178,JR,"Orlando, FL"
Connor Iwema,6,WR,6000,208,SR,"Wadsworth, IL"
Matt DeSomer,7,S,6000,198,JR,"Lowell, IN"
Darrell James,8,WR,6000,184,JR,"Fort Worth, TX"
D.J. Davis,9,RB,5080,160,SO,"Pompano Beach, FL"
Tanner Hearn,10,QB,6010,183,SO,"Orlando, FL"
Raphael Leonard,11,WR,6020,194,JR,"Starkville, MS"
ShawnTrez Spates,11,CB,5090,182,SO,"Decatur, IL"
Brandon George,12,QB,6000,206,FR,"Jacksonville, FL"
Markese Jackson,13,LB,6010,234,SR,"East Saint Louis, IL"
Torian Lewis,14,CB,5110,192,SO,"Lansing, IL"
E'Mare Hogan,15,WR,5100,150,FR,"Orlando, FL"
James Ceasar,16,CB,5100,186,SO,"Detroit, MI"
Landon Lenoir,17,WR,5110,182,SO,"Crete, IL"
Qua Brown,19,S,5100,196,FR,"Deland, FL"
Jimmy Jones,20,WR,5100,176,JR,--
Ryan Neal,21,S,6030,200,SR,"Merrillville, IN"
Cameron Walter,22,RB,5100,200,SR,"Greenville, IL"
Jefferson Vea,24,CB,6000,200,JR,"Mount Dora, FL"
C.J. Jennings,26,CB,5100,185,JR,"Orlando, FL"
D.J. Hampton,27,RB,5070,174,FR,"Sanford, FL"
Vince Martin,28,S,6000,188,SR,"Miami, FL"
Chris Perkins,28,RB,5080,196,SO,"Carmel, IN"
Cody Crider,29,LB,5110,225,SO,"Mayfield, KY"
Bryson Strong,31,LB,5100,234,FR,"Fairview Heights, IL"
Kyron Watson,32,LB,6000,219,SR,"East Saint Louis, IL"
Charlie Harris,33,S,6010,200,SR,--
Bryce Notree,34,LB,6020,229,FR,"Arlington, TX"
Kamahl March,36,LB,6000,212,SO,"Detroit, MI"
Michael Elbert,37,S,6000,179,FR,"Carl Junction, MO"
Quadarius Reed,38,DL,6020,280,JR,"Yazoo City, MS"
Jonathan Mixon,39,RB,5110,227,JR,"Galesburg, IL"
Dave Arendt,40,DE,6000,247,SO,"Chapin, IL"
