Name,Number,Position,Height,Weight,Class,Hometown
Jevon Elmore,1,CB,5100,185,SR,"New London, CT"
Tyshaun James,1,QB,6040,210,FR,"Middletown, CT"
Carlton Aiken,2,QB,6020,195,FR,"Springfield, PA"
Carlton Nash,2,DB,5100,185,SR,"Smyrna, DE"
Joey Fields,3,WR,5080,170,SR,"Toms River, NJ"
Tymir Hinton,3,S,6000,195,JR,"Linden, NJ"
Randall Laguerre,4,LB,6020,235,SR,"Union, NJ"
Kevin Loschiavo,5,S,6000,200,JR,"Oxford, CT"
Cameron Nash,5,RB,5070,185,SR,"Smyrna, DE"
Raeshaun Finney,6,LB,6020,210,SR,"Ansonia, CT"
Jose Garcia,6,WR,5100,180,JR,"New London, CT"
Jason Bailey,7,QB,6010,215,FR,"New Windsor, NY"
Edison Galan,8,QB,6020,180,FR,"Manchester, CT"
Grant Ibeh,8,CB,6010,185,SO,"Gaithersburg, MD"
Jacob Dolegala,9,QB,6060,225,JR,"Hamburg, NY"
Kenneth Keen,9,LB,6010,235,JR,"Norwalk, CT"
Alex Jamele,10,WR,6000,180,JR,"Southington, CT"
Andre Morris,10,CB,5110,175,SR,"Washington, DC"
Chika Chukwu,11,WR,6030,210,SO,"Glastonbury, CT"
Kyle Baum,12,S,6030,205,SO,"North Huntingdon, PA"
Najae Brown,13,S,6000,195,SR,"Mount Vernon, NY"
Tanner Kingsley,14,QB,6000,170,SO,"Beacon Falls, CT"
Mike Mushaw,15,LB,6020,205,SO,"Scotia, NY"
Terrell Huff,16,LB,5110,215,JR,"Windsor, CT"
Courtney Rush,17,WR,6020,180,JR,"Windsor, CT"
Trey Hodge,18,WR,6020,180,JR,"Cortlandt Manor, NY"
Emanuel Scott,19,WR,6000,175,FR,"Brooksville, FL"
Drew Jean-Guillaume,20,RB,5110,205,SO,"Charlton, MA"
Xavier Bass,21,WR,6000,184,FR,"Bridgeport, CT"
Jarrod Cann,22,S,5100,200,SR,"Hartly, DE"
Tajik Bagley,23,DB,5110,180,SO,"Ansonia, CT"
Antwann Anderson,24,WR,5090,175,FR,"Slidell, LA"
Khendell Puryear,25,CB,5070,160,JR,"Brooklyn, NY"
Keonte Lucas,26,RB,5100,195,FR,"East Hartford, CT"
O'Brian Sinclair,27,RB,5090,170,JR,"Middletown, CT"
Frankie Palmer,28,PK,5110,160,JR,"Danbury, CT"
Aaron Dawson,29,RB,5110,224,FR,"Westbury, NY"
Darryn Horner,30,CB,5110,190,SR,"New Haven, CT"
Enyce Walker,31,RB,5110,190,SO,"East Hartford, CT"
Michon Hunt,32,LB,6020,210,FR,"Hartford, CT"
Kendall Coles,33,DB,6000,175,FR,"Huntersville, NC"
Rich Jernigan,34,LB,6000,240,JR,"Hartford, CT"
