Name,Number,Position,Height,Weight,Class,Hometown
Chuk Anya,--,DB,6010,195,SO,"Germantown, MD"
Terrence Brennan,--,DB,0,0,FR,"Weston, FL"
Sean Edmonds,--,DB,5100,185,FR,"Hudson, OH"
Bryan Fegley,--,P,5110,190,SR,"Wyomissing, PA"
Caleb Kraegenbrink,--,RB,5100,190,FR,"Williamsburg, VA"
Malik Mitchell,--,LB,0,0,FR,"Washington, PA"
Mike Pernice,--,FB,0,0,FR,"Pittsburgh, PA"
Errict Tedrow,--,DB,0,0,FR,"Charleroi, PA"
John Truskowski,--,RB,6000,220,FR,"Coraopolis, PA"
Nehari Crawford,1,WR,5110,170,JR,"Fort Pierce, FL"
Brandon Stanback,2,DB,6000,190,JR,"Harrisburg, PA"
P.J. Fulmore,3,RB,5070,205,JR,"Pittsburgh, PA"
Daquan Worley,4,DB,5100,180,JR,"Coatesville, PA"
Kellon Taylor,5,WR,6050,215,SO,"Landover, MD"
Tommy Stuart,6,QB,6000,205,SR,"Baltimore, MD"
Brett Brumbaugh,7,QB,6050,220,SO,"Mcdonald, PA"
John Domit,8,PK,5110,170,SO,"Greensburg, PA"
Joshua Gills,8,RB,5100,190,JR,"Germantown, MD"
Adam Clopton,9,DB,6000,205,SR,"Pickerington, OH"
Malik Shegog,10,DB,5100,170,SR,"Aliquippa, PA"
Abner Roberts,11,DB,5110,180,JR,"Pittsburgh, PA"
Anthony Dougherty,12,DB,6000,190,SO,"Clinton, MD"
Alex Smith,12,QB,6040,200,FR,"Pittsburgh, PA"
Killian Bozzo,13,WR,6010,185,FR,"Pittsburgh, PA"
Jonathant Istache,14,DB,5100,180,JR,"Belle Glade, FL"
Kareem Coles,15,WR,6010,190,JR,"San Diego, CA"
Jassir Jordan,16,DB,5110,160,FR,"Aliquippa, PA"
Jaelyn Faulk,17,DB,5080,160,FR,"Miami, FL"
Thomas Lucas,18,WR,6020,225,SR,"Silver Spring, MD"
Jaison Young,19,WR,6010,220,SO,"Glenarden, MD"
Jaquaun Davidson,21,WR,6020,215,SR,"Elizabeth, PA"
Greg Claytor Jr.,22,DB,5110,205,JR,"Shaker Heights, OH"
Chayse Dillon,23,LB,5110,215,SO,"Pittsburgh, PA"
Chavas Rawlins,24,WR,6030,205,SR,"Monessen, PA"
