Name,Number,Position,Height,Weight,Class,Hometown
Kirby Ames,--,DB,6010,170,FR,"Aldan, PA"
Brayden Crawley,--,FB,6000,220,FR,"Manns Choice, PA"
Abraham Scotland,--,DT,6040,230,FR,"Beltsville, MD"
Baylee Smith,--,OL,6050,300,FR,"La Verne, CA"
Janar Walker,--,WR,6000,0,FR,"Pittsburgh, PA"
Mathew Barr,2,QB,6040,210,JR,"Troy, OH"
Drew Allen,3,DB,6010,185,JR,"New Castle, PA"
Warren Robinson,4,WR,5090,155,JR,"Delray Beach, FL"
Harrison Dreher,6,WR,5090,185,SO,"Clairton, PA"
Andrew Romanchak,7,QB,6020,190,SO,"Freeport, PA"
DeLano Madison,8,WR,5080,185,SO,"Warren, MI"
Gerald Ferguson,9,LB,6020,210,SR,"Delray Beach, FL"
Joseph Uhatafe,10,LB,6010,230,SR,--
Andy Smigiera,11,DB,6010,205,SR,"West Seneca, NY"
Tim Vecchio,12,WR,5100,175,SO,"Harrison City, PA"
Myles Canton,13,DB,6010,185,FR,"Hyattsville, MD"
Chase Bodeman,14,QB,6020,180,SO,"Oregon, OH"
Jalen Hill,16,WR,5110,170,FR,"Potomac, MD"
George Martin,17,QB,6050,215,FR,"Monongahela, PA"
Travon Stott,18,DB,5100,175,SO,"Germantown, MD"
Barry Amos,19,DB,5110,185,FR,"Baltimore, MD"
Eldin Anu,20,WR,5090,170,SR,"Columbus, OH"
Ryan Richards Jr.,21,DB,6010,200,SR,"Buffalo, NY"
Jonathan Wanat,22,FB,5100,200,SO,"Silver Spring, MD"
Devon DeFrances,23,LB,5100,220,SO,"West Bloomfield, MI"
Heavon Price,25,DB,5080,165,JR,"Rankin, PA"
Alek Kwasniewski,26,DB,6000,195,FR,"Kings Mills, OH"
Jon Muehlbauer,27,DB,6020,185,FR,"Jefferson Hills, PA"
Tyler Lamica,28,LB,6030,225,SO,"Rockford, MI"
Derek Albert,29,RB,5110,185,SO,"Hampton, GA"
Nick Bisceglia,29,PK,5110,160,FR,"New Kensington, PA"
Scott Goodwill,30,LB,6020,220,JR,"Powell, OH"
TJ Neal,32,DB,5110,175,SO,"Delray Beach, FL"
Adam Wollet,33,LB,6000,220,JR,"Poland, OH"
Frank Antuono,34,LB,6020,220,FR,"New Castle, PA"
Adrian Gyebi,35,CB,5110,165,FR,"Wilmington, DE"
Cole Blake,36,RB,6000,210,SR,"Crescent, PA"
Nolan Burns,37,RB,6010,215,FR,"Jersey City, NJ"
Jacob Thomas,39,DB,6030,185,FR,"Pittsburgh, PA"
Drew Hogan,40,DB,6010,200,JR,"Endicott, NY"
Moses Onafuwa,41,DB,5110,190,FR,"Dundalk, MD"
Matthew Holmes,42,TE,6010,225,FR,"Imperial, PA"
Tevaul Brown,43,DB,5110,160,SO,"Palm Bay, FL"
