Name,Number,Position,Height,Weight,Class,Hometown
Jacob Cavallo,--,LB,6000,220,FR,"Houston, PA"
Andrew Czap,--,PK,5100,150,FR,"Williamsport, PA"
Kyuan Fernandez,--,RB,5100,200,FR,"Baltimore, MD"
Kei-Shon Graham,--,RB,5090,160,FR,"Philadelphia, PA"
Garrett Henry,--,OL,6020,300,SO,"Shillington, PA"
Geno Lauer,--,OL,6060,300,FR,"Ebensburg, PA"
Chancellor Little,--,WR,5080,155,FR,"Altoona, PA"
Brian McHugh,--,DB,6010,185,FR,"Goshen, NY"
Davore Mewborn,--,WR,5080,155,FR,"New Berlin, NY"
Chris Miller,--,PK,6010,180,FR,"Johnstown, PA"
Neko Morris,--,LB,5100,185,FR,"Springfield Gardens, NY"
Richard Ojuri,--,DB,5100,190,FR,"Glen Burnie, MD"
Eduardo Oliviero-Franco,--,DL,6020,233,FR,"Pawtucket, RI"
Davey Schaum-Bartocci,--,P,6010,158,FR,"Webster, NY"
Jay Stone,--,WR,5080,170,SR,"York, PA"
Kevin Thompson,--,DB,5100,185,SR,"Edison, NJ"
Deshawn Tillman,--,DB,6000,160,FR,"Fresno, CA"
Devon Walker,--,WR,6010,165,FR,"Pittsfield, MA"
Derrick Wiley,--,LB,6010,180,FR,"Aberdeen Townhip, NJ"
Aaron Yasulitis,--,LB,5110,200,FR,"Altoona, PA"
Malik Duncan,1,DB,5100,205,SR,"Cleveland, OH"
Kamron Lewis,2,WR,6040,195,JR,"Fresno, CA"
Junior Ajayi,3,WR,5110,175,SR,"Delran, NJ"
Jordan Millberry,4,WR,5070,160,JR,"Harrisburg, PA"
Hakeem Kinard,5,DB,5100,180,JR,"York, PA"
Ben Bruni,6,LB,6000,225,JR,"Pittsburgh, PA"
Joel Denley,6,RB,5090,185,FR,"Beaumont, TX"
EJ Jenkins,7,WR,6060,210,FR,"Fredericksburg, VA"
Jarren Williams,7,DB,6000,185,SO,"Lewis Center, OH"
Jason Brown,8,QB,6030,225,FR,"Fredericksburg, VA"
Jermaine Ponder,8,DB,6030,200,SR,"Rochester, NY"
Austin Gray,9,DL,6020,275,JR,"Egg Harbor Township, NJ"
Calvin Beaty,10,LB,6000,225,SO,"Holmdel, NJ"
Freddy Bopst,10,QB,6040,215,JR,"Jarrettsville, MD"
Corey Johnson,11,DB,5110,185,FR,"Alexandria, VA"
Brandan Lisenby,11,WR,6000,180,FR,"Alexandria, VA"
Martin Foray Jr.,12,DB,5100,190,FR,"Germantown, MD"
Tyler Magaha,12,QB,6020,190,JR,"Frederick, MD"
Cyrus Holder,13,WR,6040,190,SO,"Uniondale, NY"
Jake Heiple,14,DB,5110,190,SO,"Somerset, PA"
Nicholas Marsilio,14,QB,6030,205,FR,"Harrisburg, PA"
Abijah Howell,15,DB,5100,170,JR,"Coral Springs, FL"
Dennis James,15,WR,6030,195,JR,"Jersey City, NJ"
Ra'Shaun Henry,16,WR,6020,170,FR,"Copperas Cove, TX"
Rod Alexander II,17,WR,6000,175,SR,"Miramar, FL"
Izzy Watson,17,LB,6030,205,FR,"Mayfield, OH"
Mike Fine,18,QB,6010,230,FR,"Belle Vernon, PA"
Malik McFarlane,18,DB,5110,175,FR,"Cooper City, FL"
Da'Jon Lee,19,LB,6020,220,SO,"Fairfax, VA"
Avery Miliner,20,RB,5100,195,SO,"Clayton, OH"
Marcus Bagley,21,RB,5110,230,SR,"Cleveland Heights, OH"
Delondo Boyd,21,DB,6000,195,SR,"Indian Head, MD"
Melvin Benjamin,22,LB,6020,190,FR,"Beaumont, TX"
Jymere Jordan-Toney,23,RB,5110,215,JR,"Philadelphia, PA"
Christian Massie,24,DB,5100,175,FR,"Lorton, VA"
Syaire Madden,25,RB,5080,200,FR,"Wyndmoor, PA"
Nick Rinella,25,DB,5090,190,SO,"Wyndmoor, PA"
Brandon Pierce,26,DB,6010,168,FR,"Philadelphia, PA"
Jalen Wells,27,DB,6010,180,SR,"Westerville, OH"
T.J. Orrico,28,DB,5110,175,FR,"Englishtown, NJ"
Hunter Thomas,29,LB,5110,210,FR,"Catawissa, PA"
Omar Mareko,30,LB,6010,212,FR,"Kapolei, HI"
Alex Woicehovich,31,FB,6020,240,SR,"Macedonia, OH"
Carlos Artson,32,WR,5070,155,FR,"Baltimore, MD"
Maurice Hubbard,32,DB,5090,175,SR,"Galloway, NJ"
Carlton Taylor,33,DB,5100,180,FR,"Hyattsville, MD"
Cortez Jackson,34,DB,5080,175,FR,"Upper Marlboro, MD"
Zane Stewart,35,LB,6010,230,SR,"Chambersburg, PA"
Jake Curry,36,LB,6010,195,FR,"Freehold, NJ"
Byron Johnson,37,RB,5090,200,JR,"Germantown, MD"
Sean Davis,38,FB,6020,245,FR,"Bethel Park, PA"
Eric Bofenkamp,39,PK,6000,175,SR,"Warren, OH"
Marcus Galie,40,LB,6010,225,JR,"Upper Saint Clair, PA"
Diondre Greer,41,LB,6000,210,FR,"Waldorf, MD"
Jimmy Cleveland,42,DL,6020,239,SR,"Toms River, NJ"
Gibbs Tinne,42,LB,5110,205,SO,"Burtonsville, MD"
Jacob Schneider,43,LB,6000,195,FR,"Baltimore, MD"
Shawn McCord,44,DL,6020,255,SR,"Aberdeen Townhip, NJ"
Kobe Pinkney,45,FB,5110,220,FR,"Alexandria, VA"
Zachary Rohland,46,TE,6020,245,JR,"Carlisle, PA"
Luke Weiss,47,DL,6020,255,SR,"Verona, NJ"
Sean Orsini,48,LB,6020,235,JR,"Imperial, PA"
Trysten Hunt,49,LB,5090,215,JR,"Levittown, PA"
Dominic Clark,50,LB,6040,225,FR,"Towson, MD"
Mike Ames,52,OL,6040,300,JR,"Pittsburgh, PA"
Jake Beistel,53,DL,6010,280,SO,"Alverton, PA"
Ricardo Johnson,54,DL,6010,295,SR,"Baltimore, MD"
Mederick Flavius jr.,55,OL,6040,300,JR,"Lauderhill, FL"
Jesse Rodgers,56,OL,6030,300,JR,"Lewistown, PA"
Roger Cooley,58,OL,6010,250,SR,"Germantown, MD"
Todd Burger,59,DL,6030,255,FR,"Freehold, NJ"
Evan Ferguson,63,OL,6070,315,JR,"Sterling, VA"
Joshua Taylor,64,OL,6020,270,FR,"Philadelphia, PA"
Doug Leighty,65,OL,6040,252,FR,"Alverton, PA"
Anthony Sabol,67,OL,6000,295,FR,"Radnor, PA"
John Fitzgerald,69,OL,6020,260,FR,"Rockville, MD"
Andrew Lucci,70,DL,6020,330,JR,"Parma, OH"
Shaun Hastings,71,OL,6030,265,FR,"Camp Hill, PA"
"Isaac Jackson, Jr.",72,OL,6060,340,JR,"Oxon Hill, MD"
Anthony Barber,75,OL,6040,275,FR,"Johnstown, PA"
Christian Eubanks,77,OL,6050,295,JR,"Reynoldsburg, OH"
Zach Campbell,80,WR,5090,180,FR,"Upper Marlboro, MD"
Mason Baker,81,TE,6040,235,FR,"Laurel, MD"
Andrew Zecca,82,P,6020,190,JR,"Berkeley Heights, NJ"
Jahsim Floyd,83,TE,6070,205,FR,"Sayreville, NJ"
Tim Davis,84,WR,6020,185,JR,"Ebensburg, PA"
Erick Hernandez,85,WR,6010,165,FR,"Burbank, CA"
Justin McIntyre,86,TE,6030,240,FR,"Grantville, PA"
Matt Valenzuela,87,TE,6040,245,SR,"Sterling, VA"
Colin Hindle,88,TE,6040,245,SR,"Redondo Beach, CA"
Terell Johnson,89,TE,6060,225,FR,"Burlington, NC"
Sam Cummings,91,DL,6010,250,FR,"Verona, NJ"
Tanner Schmidt,93,LS,6030,250,FR,"Maple Lake, MN"
Kenny Brumbaugh,94,DL,6010,223,FR,"Altoona, PA"
James Watkins,95,DL,6010,281,FR,"Oxon Hill, MD"
Louie Gartner,96,DL,5100,265,JR,"Bloomfield, NJ"
Logan McGeary,97,DL,6020,290,FR,"Altoona, PA"
Zack DeAngelis,98,PK,6000,170,FR,"Wolcott, NY"
Kane Piroch,99,DL,6050,245,FR,"New Kensington, PA"
