Name,Number,Position,Height,Weight,Class,Hometown
Adedayo Adebo,--,LB,6000,210,FR,"Somerset, NJ"
Ya'sin Ali,--,DB,5110,180,FR,"Teaneck, NJ"
Asonganyi Aminmentse,--,DB,5080,180,FR,"Milford, MA"
Derek Avery,--,DB,6020,200,FR,"Stafford, VA"
Yajaha Banks,--,RB,6000,185,FR,"Washington Township, NJ"
Marcus Barnes,--,DB,6000,165,SO,"Scotchtown, NY"
Adam Billard,--,QB,6030,215,FR,"Marion, MA"
Michael Bohme,--,LS,5090,210,FR,"Rochester, NY"
Macai Bruce,--,DL,6020,240,FR,"Jonesboro, GA"
BJ Buckle,--,DL,5110,245,SO,"New Canaan, CT"
Dante Capurso,--,LB,6010,230,FR,"Little Ferry, NJ"
Axton Cederquist,--,OL,6050,240,FR,"Rahway, NJ"
Chris Ciccone,--,QB,6020,190,FR,"Hillsborough, NJ"
Ivan Clare,--,QB,6000,205,FR,"Miami, FL"
Josh Clark,--,LB,6030,215,SO,"Camden, NJ"
Christian Correa,--,RB,5100,185,FR,"New Milford, NJ"
Joshua DeCambre,--,WR,6040,190,FR,"Staten Island, NY"
Kevin DiCapua,--,PK,6020,205,FR,"West Islip, NY"
Denis Douglas,--,RB,6000,185,FR,"Amityville, NY"
Nick Eccleston,--,LB,5100,215,FR,"Freehold, NJ"
Tyler Elmore,--,OL,6020,295,FR,"Dix Hills, NY"
Alec Eschenwald,--,WR,5080,180,SO,"Estero, FL"
Conor Ferrick,--,TE,6030,230,FR,"Mineola, NY"
Scotty Forbes,--,QB,5100,180,FR,"Sterling, VA"
Pat Ford,--,QB,6060,225,FR,"Watertown, CT"
Mike Giuliano,--,LB,6030,230,FR,"Toms River, NJ"
Donald Glenn,--,QB,6020,195,FR,"Middletown, NJ"
Ben Gomes,--,LB,6000,195,SO,"Warren, NJ"
Jack Graham,--,QB,6030,200,SO,"Long Beach, CA"
Josh Griffen,--,LB,5110,180,FR,"Glens Falls, NY"
Jake Griffin,--,OL,6040,315,FR,"Kingston, NY"
Malik Hamilton,--,LB,5110,205,FR,"Rolesville, NC"
Mike Hamilton,--,DL,6020,295,FR,"Downingtown, PA"
Robert Hart,--,OL,6010,250,FR,"Manasquan, NJ"
Jordan Haven,--,WR,6000,195,FR,"Windsor, NY"
Nick Hirsch,--,FB,6000,225,FR,"Sellersville, PA"
Andrew Jurkiewicz,--,LB,5100,195,FR,"East Hampton, NY"
Rhyland Keller,--,LB,5090,210,FR,"Braintree, MA"
Davien Kuinlan,--,TE,6020,220,SO,"Massapequa, NY"
Jevontae Leslie,--,WR,5100,180,FR,"Rochester, NY"
Zach Levy,--,RB,5110,195,FR,"Bellingham, MA"
Tyler Loftus,--,QB,6000,215,SR,"Ashtabula, OH"
Myles Lopes,--,FB,5090,235,FR,"Staten Island, NY"
Roldy Lucien,--,DB,5110,200,JR,"Union, NJ"
Robert Madigan,--,DB,6030,185,FR,"Islip Terrace, NY"
Nick Marte,--,RB,5110,200,FR,"Concord, NC"
Ivan McDaniel,--,WR,6040,205,FR,"Montclair, NJ"
Lincoln McGarrity,--,TE,6050,230,FR,"Syracuse, NY"
Kyle McGee,--,LB,6000,220,SO,"Manlius, NY"
Mike Millea,--,WR,6010,185,FR,"Cheshire, CT"
Jamarious Morgan,--,RB,5080,175,FR,"Utica, NY"
Chase Owens,--,QB,5110,180,FR,"Alpharetta, GA"
Tajai Owens,--,DB,6010,185,FR,"Douglasville, GA"
