Name,Number,Position,Height,Weight,Class,Hometown
Malik Davis,1,DB,6030,190,JR,"Chattanooga, TN"
DJ Montgomery,1,WR,6020,195,FR,"Durant, MS"
Malik Boynton,2,DB,5110,190,SR,"Detroit, MI"
Baniko Harley,2,QB,6010,200,FR,"Birmingham, AL"
JaVaughn Craig,3,QB,6020,180,SO,"Chattanooga, TN"
Keawvis Cummings,3,DB,6000,160,JR,"Tupelo, MS"
Chris Hopkins,4,DB,6010,200,SO,"Brentwood, TN"
Kyran Moore,4,WR,5100,155,SR,"Bessemer, AL"
DeKeivis Perry,5,DB,5090,176,SR,"Nashville, TN"
Kentel Williams,5,WR,5110,190,SO,"Knoxville, TN"
Jeremiah Oatsvall,6,QB,6010,200,FR,"Brentwood, TN"
Elijah Shepard,6,LB,6000,200,SO,"Pell City, AL"
James Bond,7,DB,5110,181,JR,"Jackson, TN"
James Coleman,8,TE,6040,263,SR,"Ford Heights, IL"
Isaiah Norman,8,DB,6010,200,FR,"Memphis, TN"
Elijah Brown,9,TE,6030,250,FR,"Morristown, TN"
Trent Taylor,9,DB,6000,170,SO,"Brentwood, TN"
Zeandre Floyd,11,WR,5090,159,JR,"Clarksville, TN"
Teddy Moffett,12,QB,6000,180,FR,"Pompano Beach, FL"
Kordell Jackson,13,DB,5110,160,FR,"Birmingham, AL"
Jamel Jackson,14,DB,5090,177,JR,"Cocoa, FL"
Josh Alexander,15,WR,5090,180,SO,"Norcross, GA"
Jeremiah Mitchell,17,LB,6010,211,SR,"Matteson, IL"
Trey Pruitt,18,TE,6040,212,FR,"Mount Juliet, TN"
Terry Beckham,19,DB,5110,165,SO,"Tucker, GA"
Prince Momodu,20,RB,6000,205,SO,"Brentwood, TN"
Ahmaad Tanner,21,RB,6000,200,FR,"Dalton, GA"
DeAngelo Wilson,22,WR,5100,160,FR,"Bowling Green, KY"
Derrick James,23,QB,6020,210,SO,"Columbus, GA"
Marvin Franklin,24,RB,5110,176,SO,"Brownstown, MI"
Neonta Alexander,25,LB,6020,215,SO,"Piedmont, AL"
Juantarious Bryant,26,DB,5110,205,JR,"Nashville, TN"
Rodney Saulsberry Jr.,27,DB,5100,175,SO,"Memphis, TN"
Joseph Newberry,28,DB,6020,195,FR,"Memphis, TN"
Carlos Walden,28,RB,5110,190,JR,"Medina, TN"
Corey Simmons,29,RB,5090,160,SO,"Nashville, TN"
Owen Murphy,31,WR,6020,195,FR,"Franklin, TN"
James Tobin,32,DB,6000,170,FR,"Louisville, KY"
Coreon Jackson,35,DB,5110,185,FR,"Clarksville, TN"
Gunnar Scholato,36,LB,6020,230,JR,"Hendersonville, TN"
Logan Birchfield,37,PK,5100,153,JR,"Elizabethton, TN"
Jack McDonald,38,TE,6000,195,FR,"Brentwood, TN"
Devin Stuart,39,P,5110,172,SO,"Kingsport, TN"
Tirrek Hooten,40,RB,6010,205,SO,"Montverde, FL"
Benedict Louis,41,LB,5110,236,SR,"Marietta, GA"
Brevon Johnson,42,LB,6010,205,FR,"Clarksville, TN"
Pat Walker,44,LB,6000,210,SO,"Hattiesburg, MS"
Noah Beeler,45,PK,6000,150,SO,"Pensacola, FL"
Shaun Whittinghill,47,DE,6040,226,SO,"Louisville, KY"
Tyler Reid,48,LB,6000,200,SO,"Ooltewah, TN"
Reagan Hyde,49,PK,6020,155,SO,"Cadiz, KY"
Colby McKee,50,OL,6040,250,FR,"Georgetown, KY"
Mason Harwell,52,DT,6020,280,FR,"Memphis, TN"
Seth Johnson,54,OL,6040,315,FR,"Olive Branch, MS"
Ethan Self,55,OL,6020,287,JR,"Melbourne, FL"
Corey McDonald,56,DL,6020,270,SO,"Chattanooga, TN"
Corey Brown,58,DL,6020,295,SR,"Columbus, MS"
Jarrett Giacchino,59,LS,6020,208,JR,"Bourbonnais, IL"
Darryl Johnson,60,OL,6030,302,SR,"Flint, MI"
Brady Dorris,62,OL,6020,299,JR,"Greenbrier, TN"
Delvin Salter,66,OL,6040,275,SO,"Memphis, TN"
Justin Satterfield,67,OL,6060,310,FR,"Mount Juliet, TN"
Byron Glass,68,OL,6020,286,JR,"Acworth, GA"
Max Ewoldt,69,OL,6050,316,SR,"Blaine, TN"
Jule Pace,71,DE,6010,284,SR,"Clarksville, TN"
