Name,Number,Position,Height,Weight,Class,Hometown
Scotty Gilkey Jr,1,QB,6040,235,FR,"Tulsa, OK"
Colby Barnes,2,WR,6030,190,FR,"Lexington, KY"
Durron Burton,2,DB,5110,175,JR,"Rancho Cucamonga, CA"
Cornelius Page,3,DB,6010,175,SO,"Camden, AR"
Raymond Crittenden,4,S,6010,200,SO,"Hallandale, FL"
Jacob Welch,4,WR,6020,210,JR,"Huntington Beach, CA"
Iziah Gulley,5,S,6020,190,FR,"Camden, AR"
Andre Harris,5,WR,6010,185,SR,"Kirkwood, MO"
Tray Mitchell,6,S,5110,190,SR,"Wentzville, MO"
Dennis Turner,6,WR,6010,175,SR,"Fort Lauderdale, FL"
Bradley Dewberry,7,S,6010,215,SR,"Stockbridge, GA"
Aaron Gooch,7,WR,5090,170,JR,"Flossmoor, IL"
Bud Martin,8,QB,6010,240,JR,"Fort Lauderdale, FL"
Mack Weaver,8,DE,6050,255,SR,"Collierville, TN"
Ben Bergeson,9,DB,5100,185,JR,"Salt Lake City, UT"
Rodarrius Brooks,9,RB,5110,205,FR,"Birmingham, AL"
Andrews Dadeboe,11,S,6010,215,SR,"York, PA"
DySaun Smith,12,DB,5100,185,JR,"Lake Cormorant, MS"
Mitch Kimble,13,QB,6030,215,SR,"Jerseyville, IL"
Xzavier Shugars,13,DB,5100,180,SO,"Chamblee, GA"
Jaylon Banks,14,QB,6010,190,FR,"Oswego, IL"
Alexander Hollins,15,WR,6010,170,JR,"Yazoo City, MS"
Javon Turner,16,WR,5100,190,JR,"Downers Grove, IL"
Robbie Lofton,19,WR,6030,180,FR,"Lexington, KY"
Marcus Bornslater,20,S,6030,190,FR,"Crossett, AR"
Mark Williams,21,DB,6010,170,FR,"Fort Lauderdale, FL"
Courtney Rowell,22,RB,6020,195,FR,"South Bend, IN"
Isaiah Johnson,23,RB,6010,215,JR,"Clarksville, TN"
Darshon McCullough,24,RB,5090,185,SO,"Chicago, IL"
Julian Hess,25,DB,6020,175,FR,"Champaign, IL"
Jordan Jackson,26,DB,6010,170,FR,"Blytheville, AR"
Edwyn Brown,27,DB,6050,185,FR,"Belleville, IL"
Vince Speller,28,S,6010,215,SR,"Chicago, IL"
Jonas Filer,29,DB,5090,160,FR,"Chicago, IL"
Nick Horne,30,LB,6020,220,SR,"Park Forest, IL"
Malcolm Miller,31,DB,6010,205,SR,"Park Forest, IL"
Mark Tunnell,32,WR,6020,185,FR,"Indianapolis, IN"
Austin Johnson,33,LB,6030,230,FR,--
Nick Wilson,35,P,6010,200,SR,"Charleston, IL"
Jacob Ivey Jr,36,DL,6040,260,FR,"Memphis, TN"
Matt Severino,37,PK,5100,165,FR,"Springfield, IL"
Eddie Lusk,38,RB,6010,215,SR,"Maryville, IL"
Chibuike Nwuda,39,DE,6010,240,SR,"Upland, CA"
Michael Hollingshed,40,DB,6010,190,SO,"Bellwood, IL"
Robert Columbus,41,RB,6020,195,SO,"Kirkwood, MO"
Antonio Crosby,42,LB,5100,200,SO,"Chicago, IL"
Nick Bruno,43,PK,6010,185,SR,"Daytona Beach, FL"
Josh Price,44,DL,6010,240,JR,"Marietta, GA"
Joe Caputo,45,LB,6020,230,SO,"Mount Prospect, IL"
Spenser Eversole,46,LB,6020,220,FR,"Villa Grove, IL"
Derrek Tiburzi,47,TE,5110,220,JR,"Gillespie, IL"
David Owens,48,DE,6050,245,SR,"Baltimore, MD"
Nathan Kelly,49,TE,6040,230,FR,"Sherrard, IL"
Sean Williams,50,LB,6020,225,FR,"Chicago, IL"
Dytarious Johnson,51,LB,6010,255,FR,"Prattville, AL"
Will Barto,52,LB,5110,215,FR,"Eads, TN"
Camden Meade,53,LB,6010,200,SO,"West Chicago, IL"
AJ Hantak,54,LS,6040,240,SR,"Fenton, MO"
David Johnson,55,DE,6010,270,SR,"Lithonia, GA"
Taylon Shepard,56,DT,6010,290,JR,"Brenham, TX"
Aaron Woods,57,DL,6030,250,FR,"Chicago, IL"
Alex Smith,58,DE,6020,240,FR,"Pompano Beach, FL"
Jareem Fleming,59,LB,5110,235,JR,"Chicago, IL"
Aaron Miller,60,OL,6050,270,FR,"Honolulu, HI"
Ben Solomon,61,OL,6020,290,FR,"Indianapolis, IN"
Travis Buckwalter,62,OL,6030,340,FR,"Freeport, IL"
Mario Rodrigues,63,LS,6010,240,FR,"New Lenox, IL"
Johari Branch,64,OL,6030,315,FR,"Chicago, IL"
Aaron Sanders,65,DL,6010,245,FR,"Chicago, IL"
Drew Walega,66,OL,6060,290,SO,"Chicago, IL"
Austin Askin,67,OL,6070,290,SR,"Louisville, KY"
Luther Harris,68,OL,6060,370,SO,"Oklahoma City, OK"
Cody Edwards,69,P,6030,220,SR,"High Ridge, MO"
Louis Vailopa,70,OL,6030,310,SR,"Waianae, HI"
Jose Sanchez,71,OL,6040,310,FR,"Chicago, IL"
Grant Branch,72,OL,6040,305,JR,"Bolingbrook, IL"
Myles Johnson,73,OL,6010,260,FR,"Chicago, IL"
Aaron Callaway,74,OL,6050,305,JR,"St. Charles, MO"
Cole Hoover,76,OL,6040,250,FR,"Charleston, IL"
Josh Doyle,77,OL,6040,285,JR,"Lake Geneva, WI"
Lazarus Daniels,78,OL,6010,290,SR,"Chicago, IL"
