Name,Number,Position,Height,Weight,Class,Hometown
Jebreel Adonis,--,LB,6020,205,FR,"Wheaton, MD"
Dakota Allen,--,QB,6040,205,FR,"Lebanon, OH"
Christopher Anthony,--,OL,6040,285,FR,"Massillon, OH"
Graham Ashkettle,--,OL,6060,290,FR,"Crestwood, KY"
Jackson Beerman,--,WR,6050,200,FR,"Lexington, KY"
Grayson Blevins,--,LB,5100,205,FR,"Harrodsburg, KY"
Alonzo Booth,--,RB,6010,245,FR,"Canal Winchester, OH"
Thomas Bowling,--,LS,6010,200,FR,"Bardstown, KY"
Ethan Bradds,--,TE,6050,245,FR,"Jamestown, OH"
Andrew Burgess,--,QB,6000,175,FR,"South Bend, IN"
Shane Burks II,--,DL,6000,295,FR,"Lexington, KY"
Brian Carter,--,LB,6010,220,FR,"Independence, KY"
Bryce Carter,--,DL,6020,230,FR,"Louisville, KY"
Jaelin Carter,--,WR,6020,202,FR,"Louisville, KY"
Cameron Catron,--,RB,5090,175,FR,"Belfry, KY"
Sean Cleasant Jr.,--,DL,6020,275,FR,"Louisville, KY"
Azjai Cooper,--,WR,6040,200,FR,"Indianapolis, IN"
Steven Crowder,--,LB,6020,225,FR,"Mount Olive, AL"
Andrew Dziuk,--,LB,6000,215,FR,"Cornelius, NC"
Quinten Floyd,--,DL,6020,250,FR,"Frankfort, KY"
Ray Horton,--,DL,6010,300,FR,"Belfry, KY"
Leonard Humphrey,--,DL,6020,290,FR,"Knoxville, TN"
Kevin Hyde,--,DB,5100,170,FR,"Cincinnati, OH"
Matthew Jackson,--,LB,6020,180,FR,"Nashville, TN"
Brian Lassiter,--,DL,6030,227,FR,"Charlotte, NC"
Jordan Malone,--,OL,6060,285,FR,"Kingsport, TN"
Josh Ratliff,--,OL,6060,275,FR,"Louisa, KY"
Ridge Reed,--,RB,6000,215,FR,"Carlisle, OH"
Chase Ross,--,OL,6030,290,FR,"Union, KY"
Cade Sanchez,--,OL,6020,240,FR,"Lexington, AL"
Collin Sanchez,--,TE,6040,255,FR,"Lexington, AL"
Tucker Schroeder,--,OL,6040,300,FR,--
Jordan Scott,--,OL,6020,300,FR,"Huddy, KY"
Alex Shelton,--,LB,6000,215,FR,"Fort Wright, KY"
Gunner Slone,--,DL,6030,270,FR,"Paintsville, KY"
BK Smith,--,WR,5100,180,FR,"Louisville, KY"
Nakiya Smith,--,DL,6040,228,FR,"Johnson City, TN"
Ricky Smith,--,DL,6010,230,FR,"Charlotte, NC"
Tre Turner,--,DL,6050,225,FR,"Huntersville, NC"
Peyton Van Horn,--,DL,6020,220,FR,"Hebron, KY"
Jonah Wellman,--,LB,6020,225,FR,"Kenova, WV"
Landon White,--,PK,6010,185,FR,"Richmond, KY"
Bryce Wilson,--,DB,6000,188,FR,"Lexington, KY"
Zay Yeast,--,DB,6020,190,FR,"Lexington, KY"
Nigel Bethel,1,DB,5090,187,SR,"Miami, FL"
LJ Scott,4,RB,6000,225,JR,"Marion, OH"
Tim Boyle,7,QB,6040,235,SR,"Middlefield, CT"
Isaiah Murph,8,RB,6020,215,FR,"Hamilton, OH"
Ryan Markush,9,WR,6020,183,SR,"Germantown, MD"
Jordan Whitfield,10,DB,6010,185,JR,"Huber Heights, OH"
Neiko Creamer,11,WR,6030,222,JR,"Wilmington, DE"
Cornelius Floyd,12,DB,5110,176,SR,"Miami, FL"
Derius Jones,14,WR,5100,153,SR,"Louisville, KY"
Austin Scott,15,QB,6010,205,FR,"Moore, SC"
James Smith Jr.,16,QB,5110,170,SO,"Charlotte, NC"
Keith Wrzuszczak,19,P,5110,202,SR,--
Ethan Thomas,20,RB,5110,203,JR,"Johnson City, TN"
Brandon Peege,22,PK,6010,198,SO,"Goshen, KY"
Daryl McCleskey Jr.,23,RB,5090,179,SO,"Dayton, OH"
Jared Tucker,24,DB,5110,175,JR,"Stone Mountain, GA"
Tre' Moore,25,DB,5090,195,JR,"Indianapolis, IN"
Samuel Hayworth,28,PK,5110,175,SO,"Ormond Beach, FL"
Ben Bascom,29,DB,5090,178,SO,"Apopka, FL"
Ralph Patton,30,RB,5090,180,JR,"Cincinnati, OH"
AJ Jackson,31,DB,5110,175,FR,"Nashville, TN"
Buck Solomon,32,CB,6000,180,JR,"Groveland, FL"
Demontre Boyd,34,LB,6010,187,JR,"Louisville, KY"
TJ Comstock,35,DB,5110,197,SO,"Louisville, KY"
Omari Alexander,36,DB,5100,168,SO,"Louisville, KY"
Raynaldy Gustave,37,RB,5070,181,JR,"Louisville, KY"
Kobie Grace,38,DB,5090,190,SR,"Winter Park, FL"
Eric Reed,41,DB,5090,194,SR,"Nashville, TN"
Dan Paul,43,TE,6030,240,JR,"Naples, FL"
Aaron Patrick,44,DL,6040,227,JR,"Dayton, OH"
Corey Glass,45,LB,5100,216,JR,"Jacksonville, FL"
Malik Bell,48,DB,6000,180,FR,"Miami, FL"
Damon Lowe,49,LB,6020,242,SO,"Louisville, KY"
Brentton Ervin,50,LB,5110,215,SO,"Louisville, KY"
Quinton Locklear,51,LB,6020,218,FR,"Sanford, NC"
Jeffrey Canady,53,LB,6000,233,SR,"Barbourville, KY"
Taquan Evans,55,DE,6020,224,SO,"Douglasville, GA"
DJ White,59,DL,6050,210,FR,"Madisonville, KY"
Kagen Skidmore,63,OL,6020,294,SR,"Somerset, KY"
Cameron Kowalewski,64,OL,6050,272,JR,"Dallas, GA"
Chance Edwards,66,OL,6050,318,SR,"Webster, FL"
Nick Cavinee,67,OL,6070,263,FR,"Newark, OH"
Connor Foos,70,DL,6040,258,SO,"Louisville, KY"
Jackson Bardall,71,OL,6030,287,FR,"Cumming, GA"
De'jour Simpson,75,OL,6030,338,SO,"Charlotte, NC"
Lucas Williams,76,PK,6010,199,SR,"Russell Springs, KY"
Justin Myles,78,OL,6030,287,JR,"Cincinnati, OH"
Aaron Riddick,81,WR,5110,162,SO,"Louisville, KY"
Alex Cabrera,82,WR,6000,178,SO,"Melbourne, FL"
Cameron Fogle,84,WR,5110,203,SR,"Hebron, KY"
Jaret Pogliano,85,WR,6000,185,FR,"Union, KY"
Matt Clark,87,WR,6020,205,SO,"Prospect, KY"
Clayton Schmerber,89,TE,6060,241,JR,"Centerville, OH"
Josiah Bennett,90,DL,6030,281,SR,"East Stroudsburg, PA"
Dillon Denault,92,DL,6020,268,FR,"Lancaster, OH"
Luder Jean Louis,98,DL,6040,210,SR,"Brooklyn, NY"
Jeremy Hodowanic,99,DL,6010,271,FR,"Forney, TX"
