Name,Number,Position,Height,Weight,Class,Hometown
Marlon Bridges,1,S,6010,200,SO,"Lanett, AL"
Tramel Terry,1,RB,6010,210,JR,"Goose Creek, SC"
Shaq Davidson,2,WR,6010,185,JR,"Gaffney, SC"
Jonathan Hagler,2,S,6010,210,SR,"Leeds, AL"
Kendrick Doss,3,QB,6020,202,JR,"Florence, AL"
Joel McCandless,3,LB,6010,228,SR,"Birmingham, AL"
Trae Barry,4,TE,6070,220,FR,"Summerdale, AL"
Justin Thomas-Thornton,4,DE,6050,240,JR,"Prichard, AL"
Siran Neal,5,CB,6010,205,SR,"Eufaula, AL"
Reggie Hall,6,CB,6030,208,SR,"Opelika, AL"
Roc Thomas,6,RB,5110,193,SR,"Oxford, AL"
Yul Gowdy,7,CB,5100,162,FR,"Birmingham, AL"
Clay Alexander,8,TE,6040,225,FR,"Montgomery, TX"
Ra'Shad Green,8,S,6010,190,SR,"Reserve, LA"
Daniel Byrd,9,WR,6010,185,SO,"Pensacola, FL"
Darius Joiner,9,S,6020,185,FR,"Roanoke, AL"
Jacquez Payton,10,CB,6010,165,FR,"Georgiana, AL"
Zion Webb,10,QB,6010,200,FR,"Phenix City, AL"
Charles Crawford,11,S,5100,189,FR,"Prichard, AL"
Will Pyburn,11,QB,6050,230,SO,"Pasadena, CA"
Earl Calloway,13,WR,6020,203,SR,"Tallahassee, FL"
Taylor Hayes,13,QB,5110,205,FR,"Piedmont, AL"
Jayse Pruitt,13,QB,5110,200,SO,"Rainsville, AL"
Bryant Horn,14,QB,6010,195,JR,"Alexander City, AL"
Krenwick Sanders,15,WR,6020,215,JR,"Jesup, GA"
Satchel Goodrich,16,WR,6010,180,FR,"Fayetteville, GA"
Dakota Chapman,17,TE,6010,230,FR,"Mccalla, AL"
Pat Porter,17,CB,5110,178,JR,"Tuscaloosa, AL"
Dean Kelly,18,P,6020,180,SR,--
Cade Stinnett,19,PK,6010,270,JR,"Enterprise, AL"
Tyus Flakes,20,RB,5090,200,SO,"Auburn, AL"
Michael Matthews,21,RB,5110,206,FR,"Mobile, AL"
Bradley Flott,22,CB,6020,175,FR,"Mount Vernon, AL"
Jaleel Heard,23,WR,6010,213,FR,"Opelika, AL"
Zack Woodard,24,LB,6010,225,FR,"Thomasville, AL"
Craig Copeland,25,CB,5100,197,FR,"Weaver, AL"
E.J. Moss,25,DE,6030,260,JR,"Ashville, AL"
Licedrick Varner,26,CB,5110,180,FR,"Greensboro, AL"
Freddie Montgomery,27,CB,6010,175,FR,"Bel Air, MD"
Stevonte Tullis,28,RB,6010,195,FR,"Dothan, AL"
Taylor Eubanks,30,RB,5110,190,FR,"Ohatchee, AL"
Zsajuan Powe,30,LB,6010,205,FR,"Eight Mile, AL"
Antonio Bostic Jr.,31,S,6020,210,FR,"Buhl, AL"
Christian Wafford,32,LB,5110,200,SO,"Fayetteville, GA"
Bryce Handy,34,LB,6010,220,FR,"Miami, FL"
Phillip Russell,35,LB,5090,190,FR,"Dadeville, AL"
Quan Stoudemire,35,LB,6010,230,JR,"Opp, AL"
Matravious Williams,36,S,5110,225,SO,"Valley, AL"
De'Marcus Flowers,37,RB,5080,175,JR,"Daleville, AL"
Malcolm Easterwood,38,S,6010,173,FR,"Fayetteville, GA"
Dequan Charleston,39,CB,6010,173,FR,"Linden, AL"
Darius Jackson,40,DE,6030,242,SR,"Bessemer, AL"
Dalton Campbell,41,DE,6010,245,SR,"Vestavia, AL"
Jalen Choice,42,LB,6030,234,FR,"Tuscaloosa, AL"
Jeremiah Harris,43,CB,5100,171,FR,"Shorterville, AL"
TyShawn Jackson,44,CB,6030,186,FR,"Greensboro, AL"
Austin Freeman,45,S,6010,180,FR,"Scottsboro, AL"
Lewis O'Neal,46,LB,6010,190,FR,"Tuskegee, AL"
Josh Brady,47,LS,6030,228,SO,"Ringgold, GA"
Joseph Roberts,48,DE,6030,251,JR,"Trussville, AL"
Monty Young,49,DE,6020,235,JR,"Anniston, AL"
Aaron Zawacki,51,LB,6020,210,FR,"Huntsville, AL"
Emmanuel Fennell,52,DE,6010,240,JR,"Robertsdale, AL"
Skyler Esmann,53,DL,6010,240,JR,"Summerville, GA"
Nuka Yobo,54,OL,6030,280,SO,"Covington, GA"
Jalyn Johnson,55,DL,6030,255,FR,"Dadeville, AL"
Connor Christian,56,DL,6030,280,JR,"Dallas, GA"
Spencer Watley,56,OL,5100,270,SR,"Clanton, AL"
Ryan Fagerstrom,57,LB,6010,215,JR,"Newnan, GA"
Tyrese Slocum,58,OL,6040,305,FR,"Memphis, TN"
Brock Burkhalter,59,DL,6040,285,SO,"Fayette, AL"
Branqavious Bussey,63,OL,6030,280,SO,"Lanett, AL"
David Neece,64,OL,6030,270,SR,"Clanton, AL"
Michael Shaddix,65,OL,6040,280,FR,"Fort Payne, AL"
Jordan Kilgo,67,LS,6030,250,FR,"Gadsden, AL"
JQ Merriel,68,OL,6020,305,FR,"Fort Walton Beach, FL"
Justin Lea,69,OL,6040,290,SR,"Henagar, AL"
Mason Langley,71,OL,6030,290,FR,"Piedmont, AL"
Nate Archie,72,OL,6010,280,FR,"Mobile, AL"
Darius Anderson,74,OL,6030,305,SO,"Jonesboro, GA"
Ye'Majesty Sanders,75,OL,6050,321,FR,"Columbus, GA"
Brock Gould,76,OL,6030,265,FR,"Mobile, AL"
Dylan Cline,77,OL,6040,295,SR,"Mccalla, AL"
Tyler Scozzaro,78,OL,6030,300,SR,"Bessemer, AL"
B.J. Autry,79,OL,6050,340,JR,"Eight Mile, AL"
Austin Cummins,80,TE,6050,230,FR,"Stevenson, AL"
Penny Smith,82,WR,6020,195,JR,"Knoxville, TN"
Landon Smith,83,WR,5080,170,SO,"Morris, AL"
Jamari Hester,84,WR,6070,210,SO,"Miami, FL"
Ty Minshew,85,TE,6020,230,SO,"San Diego, CA"
Malik Oliver,86,WR,5100,175,FR,"Douglasville, GA"
