Name,Number,Position,Height,Weight,Class,Hometown
Steven Newbold,1,WR,5110,170,SO,"Carol City, FL"
Ebenezer Ogundeko,1,DE,6030,255,SR,"Brooklyn, NY"
Patrick Smith,2,WR,6000,190,SR,"Memphis, TN"
Chris Rowland,3,WR,5080,170,SO,"Nolensville, TN"
Sabree Curtis Jr.,4,RB,5100,175,SO,"Fairburn, GA"
Terrell Bonds,5,DB,5090,176,SR,"Miami, FL"
Treon Harris,5,QB,5110,195,JR,"Miami, FL"
Earl Harrison,6,RB,6010,205,SO,"Memphis, TN"
Ronnie Killings,7,WR,6010,185,SO,"Murfreesboro, TN"
Mahlon Medley,8,TE,6030,225,JR,"Charlotte, NC"
Al-Malik Moore,9,WR,6010,170,FR,"Miami, FL"
Dajour Nesbeth,10,CB,6010,187,SO,"Winter Garden, FL"
Mazio Rhodes,11,WR,6000,180,SR,"Nashville, TN"
Michael Hughes,12,QB,6020,230,SO,"Nashville, TN"
Larry Wilhoite,12,S,6000,185,SO,"Nashville, TN"
DeVon Johnson,13,WR,6010,165,JR,"Huntsville, AL"
Terry Straughter,14,LB,6000,220,FR,"Miami, FL"
Kullen Wells,14,QB,6040,190,FR,"Knoxville, TN"
Tyler Black,15,RB,5100,190,SO,"Murfreesboro, TN"
Reggie Gunn,16,LB,6010,195,SO,"Jacksonville, FL"
Josh Truehart,16,QB,6050,235,FR,"Nashville, TN"
Moris Lugo,17,LB,6000,210,FR,"Opa Locka, FL"
Aaron Cauthen,18,TE,6050,235,FR,"Douglasville, GA"
Austin Rowley,18,P,6020,180,JR,"San Diego, CA"
Justin North,19,LB,6020,230,SR,"Orlando, FL"
Shakur Jackson,20,DB,5090,170,SO,"Roswell, GA"
Neiman Armstrong,21,CB,6010,185,SO,"Dallas, TX"
Lakhalon Holland,22,DB,5100,190,JR,"Jacksonville, FL"
Trevion Duncan,24,S,5110,180,JR,"Houston, TX"
Vincent Sellers,25,DB,6010,180,FR,"Sarasota, FL"
Laquarius Cook,26,S,6000,190,JR,"Birmingham, AL"
James Green,27,LB,6010,205,FR,"Orlando, FL"
Shaun McColley,28,RB,5110,210,FR,"Chattanooga, TN"
Michael Crawford,29,LB,6010,210,FR,"Lansing, IL"
Blair Edwards,30,LB,6010,200,JR,"Gadsden, AL"
Tyler Bond,31,DB,5090,180,FR,"Chapel Hill, TN"
Chris Collins,32,LB,5110,230,SR,"Fairburn, GA"
Seth Rowland,33,RB,5060,185,SO,"Nolensville, TN"
Arkeem Granger,34,RB,6000,220,SO,"Pembroke Pines, FL"
Jordan Bell,35,RB,5100,200,FR,"Antioch, TN"
Desmond Johnson,36,DB,6010,190,FR,"Huntsville, AL"
Andrew Knox,38,RB,5110,250,SO,"Murfreesboro, TN"
Terence Harris II,39,FB,6010,242,SR,"Nashville, TN"
Thomas Newberg,40,LS,6040,190,SO,"Thompsons Station, TN"
Lane Clark,41,PK,5110,170,SR,"Hays, KS"
