Name,Number,Position,Height,Weight,Class,Hometown
Dami Adekunjo,--,CB,6000,180,SO,"Glen Burnie, MD"
Anthony Akers,--,DT,6000,290,JR,"Murfreesboro, TN"
Blake Alberts,--,P,5110,188,FR,"Murfreesboro, TN"
Manuel Avia,--,OL,6050,335,SO,"Chino, CA"
Quintavious Boyd,--,CB,5100,160,SO,"Murfreesboro, TN"
Adam Browner,--,QB,6040,218,JR,"New Hope, AL"
Mike Cain,--,DT,5100,310,SR,"Madison, TN"
Alex Carling,--,TE,6050,245,JR,"Scranton, PA"
Lucien Charles,--,OL,6030,285,SO,"Orlando, FL"
JayQuan Coles,--,DT,6020,275,FR,"Stockbridge, GA"
Jacob Crocker,--,LB,6010,200,FR,"Nashville, TN"
Josh Cunningham,--,WR,5100,175,JR,"Murfreesboro, TN"
Clay Davis,--,S,6030,205,SO,"Louisville, KY"
Joe Dennis,--,OL,0,0,FR,"Cookeville, TN"
Olico Dennis,--,RB,5090,185,FR,"Calhoun, GA"
Jarred Dorton,--,OL,6070,340,SR,"Bakersfield, CA"
Myles Douglas,--,OL,6020,295,JR,"Nashville, TN"
Gregory Elliott,--,LB,6020,212,FR,"Mount Juliet, TN"
Eriq Fadahunsi,--,CB,5110,190,SO,"Bryans Road, MD"
Shannon Fayne,--,S,6000,195,SO,"Nashville, TN"
A.J. Flemister,--,CB,6010,200,JR,"Chattanooga, TN"
R.D. Ford,--,WR,6030,185,SO,"Huntsville, AL"
Jonathan Garner,--,OL,0,0,FR,"Smyrna, TN"
Andrew Goldsmith,--,RB,6000,210,SO,"Jackson, TN"
Ethan Guinn,--,LB,6000,227,FR,"Kingston, TN"
Jackson Guy,--,QB,6000,183,FR,"Englewood, TN"
Norman Hand,--,DT,6040,255,SO,"Walterboro, SC"
Robert Hatchett III,--,WR,6000,188,FR,"Lithonia, GA"
Hunter Hawkins,--,TE,6060,260,FR,"Morrison, TN"
Chris Hooks,--,WR,6000,195,FR,"Bay Minette, AL"
Donte Horton,--,?,0,0,FR,"Cookeville, TN"
