Name,Number,Position,Height,Weight,Class,Hometown
Joseph Este,2,S,5110,201,SR,"Kenner, LA"
Tae Martin,3,S,6000,192,SR,"Murfreesboro, TN"
Dresser Winn,3,QB,6030,195,FR,"Dresden, TN"
Jaimiee Bowe,5,RB,5110,201,JR,"Spartanburg, SC"
Justin Jackson,5,DB,5100,168,SR,"Johns Creek, GA"
Marquez Grayson,6,RB,6010,209,SR,"Lexington, NC"
Ladarius Galloway,7,RB,5090,205,JR,"Indianola, MS"
DJ Simmons,7,LB,5100,200,SR,"Rogersville, AL"
Anthony Brown,8,DL,6030,270,JR,"Miami, FL"
Antonio Clifton,9,S,5090,181,SR,"Tupelo, MS"
Troy Cook,10,QB,6010,206,SR,"Miami, FL"
Caylon Weathers,11,WR,6040,228,SR,"Germantown, TN"
Takeem Young,12,DB,6010,165,FR,"Greeneville, TN"
Londell Lee,13,WR,6020,196,SR,"Palos Heights, IL"
Clay Beathard,14,QB,6010,194,FR,"Franklin, TN"
Brett Thompson,15,TE,6040,232,JR,"Olive Branch, MS"
Kyle Akin,16,QB,6020,204,SO,"Jackson, TN"
Quentin Montgomery,17,DB,5110,180,FR,"Jacksonville, FL"
Kahlid Hagens,18,S,6030,207,SR,"Maplewood, MO"
Joe Hudson,18,QB,6020,210,JR,"San Diego, CA"
Kylan Watkins,19,RB,6000,175,FR,"Memphis, TN"
Ty Brown,20,RB,5100,192,JR,"Martin, TN"
Hamilton Hendricks,20,DB,6000,185,SO,"Nashville, TN"
Andrew Horton-Martindale,21,S,6010,195,JR,"Nashville, TN"
Bryce Warner,21,RB,5110,195,SO,"Troy, TN"
Terry Norris,22,RB,5080,229,JR,"Springfield, MA"
Peyton Logan,23,RB,5080,170,FR,"Horn Lake, MS"
Wanya Moton,23,DB,6010,190,FR,"Murfreesboro, TN"
Deashun Fields,24,RB,6010,220,FR,"Dyersburg, TN"
Evan Gowdy,25,DB,6010,175,FR,"Nashville, TN"
AJ Daniel,26,S,6000,197,SO,"Columbia, TN"
Marcus LeFlore,26,RB,6000,206,JR,"Olive Branch, MS"
Porter Streator III,27,S,6000,202,JR,"Nashville, TN"
Kevin Reid,28,DB,6000,182,JR,"Clarksville, TN"
Lamarcus Young,29,DB,5110,178,FR,"Bartlett, TN"
Deven Sims,30,DB,6020,195,FR,"Smyrna, TN"
Chris Davis,31,RB,5100,209,JR,"Cincinnati, OH"
John Ford,31,LB,6030,220,FR,"Nashville, TN"
D'Carrious Stephens,31,DB,6000,208,FR,"Union City, TN"
JP Fowler,32,S,5100,218,SR,"South Fulton, TN"
Jordan Tucker,32,RB,5090,210,FR,"Pulaski, TN"
Malik Harris,34,LB,6020,228,SO,"Nashville, TN"
Kevin Prather Jr.,35,LB,6000,218,JR,"Murfreesboro, TN"
Julian Thompson-Clay,36,LB,6030,229,JR,"Clarksville, TN"
Brandon Anderson,37,S,5100,191,SO,"Frisco, TX"
Brett Arkelian,38,PK,5090,180,SR,"Clovis, CA"
Joe'Marri Ray,38,DB,5090,180,FR,"Paris, TN"
Dylan Yates,39,RB,5100,205,FR,"Dresden, TN"
Koreyon Jordan,40,LB,6020,227,SO,"Nashville, TN"
Garrett Wall,41,LB,6000,225,JR,"Fairview, TN"
Demonta Daniel,42,TE,6000,261,SR,"Dickson, TN"
Ryan Davis,43,LB,6010,220,FR,"Cincinnati, OH"
TJ Jefferson,44,LB,5080,222,SO,"Nashville, TN"
David DuBose,45,LB,6030,233,FR,"Huntsville, AL"
BJ Daniel,46,TE,6010,225,JR,"Columbia, TN"
Deylon Williams,46,LB,6020,250,FR,"Smyrna, TN"
Austin Pickett,47,DL,6010,287,SO,"Minneola, FL"
Boone Gibson,49,TE,5110,220,FR,"Pulaski, TN"
Mitch Mersman,49,PK,6010,225,SR,"Dickson, TN"
James Gilleylen,50,LB,6010,243,JR,"Tupelo, MS"
Jose Carballo,51,LS,6000,239,SR,"Miami, FL"
Zach Parker,52,OL,6020,289,SO,"Union City, TN"
Ryan Courtright,53,PK,6000,188,FR,"Lexington, TN"
Collier Wolcott,54,LB,6000,200,FR,"Dickson, TN"
Jay Murphy,56,DL,6040,346,SR,"Lewisburg, TN"
Austin Pauley,58,OL,6050,295,SO,"Chandler, AZ"
Mark Garrett,60,OL,6050,360,JR,"Selma, AL"
Dallis Sangster,61,OL,6040,334,FR,"Bolivar, TN"
Kadarren Bond,64,OL,6040,318,SR,"Brownsville, TN"
Kyle Naes,65,OL,6040,285,JR,"Bartlett, TN"
James Walker,70,OL,6050,314,FR,"Eufaula, AL"
Robert Burleigh,74,OL,6050,325,SR,"Jackson, TN"
Terry Fultz,75,OL,6060,312,SO,"Memphis, TN"
Chris Jackson,76,OL,6090,312,FR,"Lexington, KY"
Corey Madlock,77,OL,6040,281,SR,"Buffalo, NY"
Austin Newsom,78,OL,6050,325,SO,"White Bluff, TN"
Drew Beymer,79,OL,6090,320,FR,"Auburndale, FL"
Ethan Lewis,80,S,5100,180,SR,"Fort Lauderdale, FL"
Victor McClinton,80,WR,6020,180,FR,"Eufaula, AL"
Rodney Williams II,81,WR,6040,210,SO,"Germantown, TN"
Colton Dowell,82,WR,6030,190,FR,"Lebanon, TN"
Chance Key,83,TE,6050,250,SO,"Brilliant, AL"
Jaylon Moore,84,WR,6020,185,SO,"Memphis, TN"
Collin Tatko,85,TE,6060,250,FR,"Southaven, MS"
Devonte Howard,86,WR,5090,171,JR,"Bryant, AR"
Tyler Eddings,87,WR,5100,198,JR,"Shelbyville, TN"
Christian LaBreche,88,TE,6060,230,FR,"Brentwood, TN"
Jaylen Smith,88,WR,6000,182,JR,"Madison, MS"
Hunter Watkins,89,WR,6010,160,FR,"Paducah, KY"
Donnell Williams,89,WR,6030,195,FR,--
Jordan Harrod,90,DL,6020,260,FR,"Paris, TN"
Joseph Murry,92,DL,6020,301,SO,"Birmingham, AL"
Mike Turner,93,DL,6040,275,JR,"Cordova, TN"
Joey Hobbs,94,DL,6050,245,JR,"Mechanicsburg, PA"
Donald Cofield Jr.,95,DL,6030,300,SO,"Memphis, TN"
Joseph Jones,96,DL,6020,250,SO,"Jackson, TN"
Julian Crutchfield,97,DL,6050,301,SO,"Lebanon, TN"
Sean Turner,98,DL,6040,280,SO,"Memphis, TN"
Matthew Counce,99,DL,5110,251,FR,"Paris, TN"
