Name,Number,Position,Height,Weight,Class,Hometown
Alex Pechin,1,P,6000,185,JR,"Kennett Square, PA"
Alan Butler,2,WR,6010,180,JR,"Erial, NJ"
Fisayo Oluleye,3,CB,6000,185,JR,"Lititz, PA"
John Chiarolanzio,4,QB,6030,190,SO,"Florham Park, NJ"
CJ Williams,4,RB,6000,215,SR,"Cockeysville, MD"
Mark Pyles,5,LB,6000,220,SR,"Lebanon, PA"
Stefone Moore-Green,6,RB,5080,150,SO,"Sicklerville, NJ"
Simeon Page,7,LB,6000,225,FR,"Riverton, UT"
Brice Sydnor,8,S,6000,190,JR,"Rosemont, PA"
Bryan Marine,9,CB,5100,180,JR,"Owings Mills, MD"
Colin Jonov,10,CB,6000,190,SR,"Murrysville, PA"
Justin Bethea,11,WR,6010,180,SO,"Sanford, NC"
Logan Bitikofer,12,QB,6030,200,FR,"New Philadelphia, OH"
Jared Morse,13,TE,6030,230,SR,"Chesapeake, VA"
Matt Muh,14,QB,6040,215,SR,"Oceanport, NJ"
Cinjun Erskine,15,FB,6010,220,JR,"Barnegat, NJ"
Jack Horan,16,WR,6030,210,SR,"Far Hills, NJ"
Kyle Kinner,17,WR,5100,180,SR,"Chesterfield, MO"
Jake Wilson,18,QB,6020,210,SO,"Chesapeake, VA"
John Burkly,19,QB,6010,195,SR,"Boonton, NJ"
Chad Freshnock,20,RB,6010,220,SO,"Middletown, NJ"
Mac Atkins,21,WR,6000,200,SR,"Pittsford, NY"
Omar Garcia,21,RB,5100,180,JR,"Adelphi, MD"
Chanse Riley,22,S,5100,175,JR,"Montclair, NJ"
Joey DeFloria,23,RB,5090,195,SR,"Greensburg, PA"
Gerrit Van Itallie,24,S,5100,206,FR,"Mahwah, NJ"
Mike Caruso,25,CB,5090,180,SO,"Rumson, NJ"
Joe Lauro,26,S,5110,205,JR,"Bradenton, FL"
Aaron Brown,27,S,6000,185,SO,"Silver Spring, MD"
Eric Butler,28,CB,5100,170,FR,"Altamonte Springs, FL"
Ben Richard,29,LB,6010,220,SR,"Coatesville, PA"
Trey Johnson,30,CB,5100,190,SR,"Shaker Heights, OH"
Joe Fex,31,S,5090,185,FR,"Coppell, TX"
Matt Robinson,32,LB,6010,220,JR,"Oakton, VA"
Conner Romango,33,S,5110,190,FR,"Pittsburgh, PA"
Jon Fox,34,S,6010,195,SO,"Wyomissing, PA"
Marquis Carter,35,RB,6000,210,FR,"Rochester, NY"
Brandon Benson,36,S,6000,190,FR,"Triangle, VA"
John McGuire,37,WR,6010,210,FR,"Franklin Lakes, NJ"
Joe Schiano,38,DE,6020,230,JR,"Tampa, FL"
Drew Newcomb,39,S,5110,180,JR,"Lewisburg, PA"
Abdullah Anderson,40,DL,6040,295,SR,"Galloway, NJ"
Sam Chitty,41,LB,6000,210,SO,"West Linn, OR"
Jimmy Sheehan,42,DL,6020,245,SO,"Hershey, PA"
Connor Golden,43,S,6000,195,SR,"Bensalem, PA"
Craig Cassidy,44,DE,6010,235,SR,"Mount Laurel, NJ"
Alex Twiford,45,TE,6030,250,FR,"Sinking Spring, PA"
Roger Mellado,47,DE,6010,230,FR,"Lorton, VA"
Maanik Lal,48,LB,6010,190,FR,"Bethesda, MD"
Mike Pirolli,50,LB,6010,215,SR,"Mount Airy, MD"
Ryan Brida,51,LB,5110,200,FR,"West Chester, PA"
Rick Mottram,52,LB,6010,220,FR,"Cream Ridge, NJ"
John Hunt,55,DL,6000,295,SO,"Braselton, GA"
Derek Bastinck,56,OL,6050,280,JR,"Wayne, NJ"
Chuck Sanders,57,OL,6000,270,SO,"Wexford, PA"
Alex Bolinger,58,OL,6020,270,FR,"Haddonfield, NJ"
Nnamdi Unachukwu,59,DE,6070,230,FR,"Morganville, NJ"
Erik Lukner,68,OL,6010,285,SO,"Sedro Woolley, WA"
Justin Falcone,71,OL,6040,260,SO,"Haddonfield, NJ"
Chase Watkins,72,OL,6040,280,SR,"Hershey, PA"
Pat Finn,73,OL,6030,275,JR,"Pottstown, PA"
P.J. Barr,74,OL,6030,305,FR,"North Brunswick, NJ"
Justis Peppers,75,OL,6040,320,FR,"King George, VA"
Simon Krizak,77,OL,6040,305,FR,--
Noah Stephenson,78,OL,6030,285,SO,"Palmyra, NJ"
Josh Yoder,79,OL,6020,275,SO,"Paxinos, PA"
Andrew Owers,80,TE,6030,240,JR,"Jupiter, FL"
David McWilliams,81,WR,5100,195,FR,"Boulder, CO"
Steven Walier,82,WR,6000,185,SO,"Holmdel, NJ"
Jack Chambers,83,P,6000,180,JR,"Wellsboro, PA"
Mike Balzofiore,84,WR,5090,180,SO,"Holmdel, NJ"
John Reedy,85,TE,6030,240,SO,"Wyomissing, PA"
Blais Herman,86,WR,6010,200,FR,"Austin, TX"
Andrew Podbielski,87,TE,6040,240,SR,"Darlington, PA"
Marcus Ademilola,88,TE,6030,215,JR,"Jackson, NJ"
Sean Naiman,89,DE,6030,220,SO,"Little Silver, NJ"
Mike Colantuono,90,DE,6020,230,FR,"Warren, NJ"
Alex Jordan,91,DL,6010,290,JR,"Furlong, PA"
Trevor Fennimore,92,DE,6040,245,SR,"Berwyn, PA"
John Burdick,93,P,6000,185,SR,"Avon, CT"
Simon Behr,94,DE,6040,230,FR,"Murrysville, PA"
Blake Fletcher,95,DE,6010,225,SO,"West Linn, OR"
Ethan Torres,96,P,6000,180,FR,"Great Falls, VA"
Nick Zarkoski,97,DL,6050,245,JR,"Spring City, PA"
Tom Adams,98,LB,6010,225,SR,"Sparta, NJ"
Clay Myers,99,DL,6010,275,FR,"Pittsburgh, PA"
