Name,Number,Position,Height,Weight,Class,Hometown
Sasha Kelsey,1,WR,6000,185,SR,"Miami, FL"
Quentin Jones,2,DB,5100,190,SR,"Lawrenceville, GA"
Troy Pelletier,3,WR,6030,210,SR,"Deerfield, NH"
Brad Mayes,4,QB,6020,210,JR,"Tampa, FL"
Kareem Montgomery,5,DB,5090,180,JR,"Baltimore, MD"
Sam McCloskey,6,DB,5100,200,JR,"Altoona, PA"
Donavon Harris,7,DB,6000,180,JR,"Burlington, NJ"
Gatlin Casey,8,WR,6030,210,SR,"Navarre, FL"
Riley O'Neil,9,DB,6000,210,SO,"Tewksbury, MA"
Tyler Monaco,10,QB,6020,205,SO,"Davie, FL"
Mike Gies,11,DB,6000,195,JR,"Pennington, NJ"
Devon Bibbens,12,WR,6010,185,SO,"New Hope, PA"
Conner Bianchini,13,WR,6020,205,JR,"Coto De Caza, CA"
Addison Shoup,14,QB,6000,190,FR,"Marietta, GA"
Matt Timochenko,15,QB,6030,230,SR,"Sinking Spring, PA"
Brendan Craven,16,QB,6030,205,SR,"Pembroke, MA"
Jaylen Floyd,17,DB,5090,175,FR,"Miramar, FL"
Marquis Wilson,18,DB,6010,185,SO,"Pompano Beach, FL"
Matt Butler,19,LB,6010,225,JR,"Ramsey, NJ"
Mark Walker,20,LB,6010,225,JR,"Haddonfield, NJ"
Luke Christiano,21,WR,5110,190,JR,"Cranford, NJ"
Nana Amankwah-Ayeh,22,RB,5110,230,SR,"Silver Spring, MD"
Devan Polanis,23,DB,6000,200,JR,"Milford, PA"
Nick Thevanayagam,24,DB,5110,205,JR,"Cinnaminson, NJ"
Marc Raye-Redmond Jr.,25,RB,5110,190,SR,"Trotwood, OH"
Tre Neal,26,DB,5110,180,FR,"Harrisburg, PA"
Jake Scott,27,LB,6020,220,JR,"Pittsburgh, PA"
Evan Chadbourn,28,RB,5110,180,FR,"Altoona, PA"
Divine Buckrham,29,DB,6000,180,FR,"Queens, NY"
Jorge Portorreal,30,WR,5090,170,FR,"Union, NJ"
Jon Seighman,31,LB,6040,210,SO,"State College, PA"
Dominick Bragalone,32,RB,5110,230,JR,"South Williamsport, PA"
Micco Brisker,33,RB,5090,210,JR,"Milton, GA"
Tre Cundiff,34,DB,6000,185,FR,"Somerset, NJ"
Brian Olshanski,35,LB,6020,225,JR,"Mountain Lakes, NJ"
Ed Mish,36,PK,5100,200,JR,"Old Bridge, NJ"
Alex Duke,37,DB,5110,180,SO,"Alexandria, VA"
Nate Norris,38,LB,6010,225,FR,"Chalfont, PA"
Keith Woetzel,39,LB,6000,215,SO,"Wyckoff, NJ"
Juwan Morrow,40,DL,6030,255,JR,"New Castle, DE"
Max Frankel,41,LB,6010,220,JR,"Tampa, FL"
Jake Weir,42,DL,6020,235,SO,"Greensburg, PA"
Julian Lynn,43,DL,6040,285,JR,"Ijamsville, MD"
Jake Buskirk,44,LB,6020,225,JR,"Whitehall, PA"
Drew Paulsen,45,TE,6030,230,SR,"Tampa, FL"
