Name,Number,Position,Height,Weight,Class,Hometown
Nick Weaver,1,WR,6010,190,SR,"Loveland, OH"
Brad Huth,2,WR,5090,175,FR,"Hinsdale, IL"
Billy Robinson,3,WR,6040,190,JR,"Miamisburg, OH"
Dalton Rogers,3,DB,5080,175,JR,"Mason, OH"
Pace Temple,4,WR,6010,190,JR,"Geneva, IL"
Cam Cooper,5,WR,0,0,FR,"Chelsea, MI"
Ryan Gallagher,6,WR,6010,190,SO,"Solon, OH"
Joe Zuccari,6,DB,0,0,FR,"Great Falls, VA"
Brad Sznajder,7,RB,5070,175,SO,"Aurora, IL"
Devin Aguilar,8,DB,0,0,FR,"Oswego, IL"
Zach Oles,8,QB,0,0,FR,"Palatine, IL"
Joey Lindstrom,9,QB,6040,205,FR,"Hawthorn Woods, IL"
Cameron Towns,10,QB,6030,180,SO,"Nashville, TN"
Darien Johnson,11,DB,5100,145,FR,"Davidson, NC"
Sam Schrader,11,RB,5100,200,SR,"Mishawaka, IN"
Will Marty,12,QB,6030,215,JR,"Wyoming, OH"
Eric Stepp,12,DB,6010,195,SO,"Cincinnati, OH"
Jordan Greer,13,WR,6030,200,FR,"Mableton, GA"
Luke Sennett,13,DB,6010,205,SO,"West Chester, OH"
James Marbaugh,14,WR,6010,190,SO,"Alpharetta, GA"
Chris Boudoures,15,LB,6010,215,SR,--
Alex Lozon,15,QB,6010,195,SO,"Ann Arbor, MI"
Ryan Young,16,QB,5110,185,SO,"Louisville, KY"
Tim Vestuto,17,RB,6010,195,SO,"Kildeer, IL"
Sam Brown,18,QB,0,0,FR,"Edgewater, MD"
Beau Snuggs,18,DB,0,0,FR,"Charlotte, NC"
John Hall,20,RB,5080,175,JR,"Bolingbrook, IL"
Matt Tille,20,DB,0,0,SO,"Gibsonburg, OH"
Mike Cerone,21,DB,5100,180,JR,"Wheaton, IL"
Noah Cralle,22,DB,5100,205,JR,"Homer Glen, IL"
Mac Carrier,23,DB,5100,180,JR,"Cincinnati, OH"
Logan Gearhart,24,DB,6010,200,FR,"Waynesville, OH"
Adam Baker,25,WR,0,0,FR,"Maineville, OH"
Isaak Newhouse,25,DB,6010,200,SR,"Grand Haven, MI"
Carter Raleigh,26,LB,6010,220,JR,"Cincinnati, OH"
Eric Wright,26,RB,0,0,FR,"Naperville, IL"
Duvante Lane,27,RB,5100,215,SR,"Evansville, IN"
Anthony Scaccia,28,RB,5070,175,JR,"Batavia, IL"
Jacob Balder,29,DB,5100,190,SR,"Deerfield, IL"
Brian Ranallo,30,DB,6010,210,FR,"Deerfield, IL"
Ben Brodowicz,31,DB,0,0,FR,"Charlotte, NC"
Caleb Cross,31,RB,6010,190,SO,"Indianapolis, IN"
Cameron Langer,32,DB,5110,215,JR,"Centerville, OH"
Ethan Brunhofer,33,LB,6020,220,SR,"Denver, CO"
Ryan Bradley,34,DB,5080,175,SR,"Avon, IN"
Gabe Montgomery,34,RB,0,0,FR,"Charlotte, NC"
Jack Disser,35,LB,6010,205,SO,"Centerville, OH"
