Name,Number,Position,Height,Weight,Class,Hometown
Ethan Silver,--,OL,6020,240,FR,"Asheville, NC"
Sam Thorne,--,OL,6030,295,FR,"Raleigh, NC"
Kevo Yeremian,--,OL,6040,310,JR,"Cumming, GA"
DJ Charles,1,DB,5100,195,FR,"Orlando, FL"
Trey Sanders,1,WR,5090,205,JR,"Riverdale, GA"
Jaquez Williams,2,DB,6000,190,FR,"Jacksonville, FL"
Emmanuel Olenga,3,DL,6040,250,SO,"Charlotte, NC"
Zach Roderick,3,WR,6010,180,SO,"Fredericksburg, VA"
Aaron Blockmon,4,WR,6010,205,JR,"Sanford, NC"
Deontae Henderson,4,DB,5110,170,SO,"Charlotte, NC"
Jaquan Brooks,5,WR,5100,175,SO,"Belmont, NC"
Dorian Jones,5,DB,5100,180,FR,"Orlando, FL"
Anthony Robbins,7,QB,6010,215,SR,"Willingboro, NJ"
Darion Slade,7,DB,6000,200,SO,"Winston-salem, NC"
Tony McWhite,8,DB,5080,180,SR,"Columbia, SC"
Eric Westbrook,9,LB,6010,200,JR,"Rock Hill, SC"
Bryan Bailey,10,WR,6020,200,SR,"Duncan, SC"
Gerald Wilkes Jr.,10,DB,5110,180,SO,"Durham, NC"
Ray Miller,11,LB,6020,220,SO,"Spartanburg, SC"
Daniel Smith,11,QB,6000,195,FR,"Leesburg, VA"
Davion Anderson,12,DB,6010,200,JR,"Macon, GA"
Jayson Demild,12,QB,6010,195,FR,"Parlin, NJ"
Blake Flemming,13,WR,5100,170,FR,"Clermont, FL"
Elijah Burress,14,QB,6020,230,SO,"Fredericksburg, VA"
Giddel Waters,15,DB,6020,195,JR,"Ayden, NC"
Preston Wilkie,16,TE,6040,235,FR,"Bogart, GA"
Dante Simmons,17,DB,6020,190,SR,"Charlotte, NC"
D'Ondray Bryson-Ashford,18,LB,6000,195,FR,"Columbia, SC"
Michael Wooten,18,TE,6030,220,SO,"Princeton, NC"
Matthew Hampton,19,QB,6020,180,FR,"Bailey, NC"
Will Howard,19,WR,6030,200,JR,"Virginia Beach, VA"
Demitrius Spury,20,LB,6010,205,FR,"Mooresville, NC"
Bryant Barr,21,WR,5110,185,FR,"Gibsonville, NC"
Carlos Merritt,21,DB,6000,185,SR,"Union City, GA"
Joshua Jones,22,RB,5080,170,SO,"Augusta, GA"
Sammie Cunningham,23,RB,5100,175,FR,"Stanley, NC"
Darren Flowers,24,DL,6010,225,SR,"Chesapeake, VA"
Dre Reid,25,DB,6000,180,SO,"Upper Marlboro, MD"
Lance Cook,26,DB,6010,200,FR,"Hickory, NC"
Kahlil Dixon,27,RB,5090,200,SO,"Angier, NC"
Montel Goods,28,RB,5100,200,FR,"Pittsboro, NC"
DJ Hill,28,LB,6000,200,FR,"Winston-salem, NC"
Levi Wiggins,29,DB,5100,175,FR,"Birmingham, AL"
Darius Barnes,30,RB,6000,195,SO,"Wilson, NC"
Josh McNeely,30,DB,5080,180,FR,"Charlotte, NC"
Lester Axson Jr.,31,DB,6000,180,FR,"Orlando, FL"
Tywuan Rivens,32,LB,6000,210,FR,"Salisbury, NC"
