Name,Number,Position,Height,Weight,Class,Hometown
Brayden Sims,2,WR,6010,201,SR,"Garner, NC"
Thomas Sykes,2,DL,6010,225,SR,"Mebane, NC"
Giftson Bornelus,3,WR,5100,160,SR,"Fort Myers, FL"
Fred Siplin,3,DB,5100,163,FR,"Coral Springs, FL"
Preston Grase,4,DB,6000,178,JR,"Red Oak, TX"
Tyler Phelps,4,QB,6020,209,FR,"Pensacola Beach, FL"
Derek Jones,5,TE,6030,225,SR,"Eagle, ID"
Ryan Woods,5,DB,5100,185,SR,"Mebane, NC"
Alex Dawes,6,LB,5110,222,JR,"Rahway, NJ"
Jaris Scott,6,WR,6030,196,SR,"Jacksonville, FL"
Ben Rowell,7,DB,5110,229,SR,"Woodstock, GA"
William Wicks,7,WR,5090,172,SO,"Fayetteville, NC"
Isaiah Anthony,8,WR,5100,161,SO,"Pfafftown, NC"
Steven Spears,8,DB,6010,180,SR,"Woodstock, GA"
Allen Clay,9,DB,5100,181,JR,"Cincinnati, OH"
Satchel Moore,9,WR,6030,195,FR,"New York, NY"
Ben Davis,10,LB,6000,215,SO,"Columbus, GA"
Taylor Mitchell,10,QB,6010,200,SR,"Buford, GA"
Clayton Kent,11,LB,5110,186,FR,"Iraan, TX"
Kahleel Shaw,11,WR,5100,168,JR,"Austell, GA"
Will Garrey,12,DL,6030,216,FR,"Murphy, TX"
Jon Sheperd-Smith,12,TE,5110,211,SR,"Atlanta, GA"
Kevin Stipe,13,DB,5090,190,SO,"Alpharetta, GA"
George Hatalowich,14,LB,5100,205,SO,"Hummelstown, PA"
Stockton McGuire,14,QB,6030,181,SO,"Douglasville, GA"
Chase Darnell,15,DL,6020,220,SO,"Milton, GA"
Cole Cheek,16,LB,6040,207,SO,"Ramseur, NC"
Hunter Louthan,16,TE,6040,238,SO,"Wilmington, NC"
Hunter Byrnes,17,TE,6010,213,JR,"Danville, VA"
Tyler Chisholm,17,DB,5100,189,FR,"West Palm Beach, FL"
Sean Holton,18,DB,5110,184,FR,"Cartersville, GA"
James Story,18,RB,6000,228,SO,"Dallas, GA"
Harrison Hill,19,LB,6000,202,FR,"Cincinnati, OH"
Pat Tabor,19,WR,5110,168,FR,"Jacksonville, FL"
Keylan Brown,20,RB,5080,171,SO,"Jacksonville, FL"
Nick Pearson,20,DL,6000,220,JR,"Mount Holly, NJ"
Nic Dillon,21,RB,5110,177,FR,"Lexington, TX"
Wesley Dugger,22,RB,6000,192,FR,"Henrico, VA"
Vincent Durham,22,LB,5110,235,SO,"Cincinnati, OH"
Stephen Shank,23,DB,5100,187,SO,"Holly Springs, NC"
Timmy Douglas,24,DL,6010,191,FR,"Round Rock, TX"
Michael Matthews,25,P,5090,161,JR,"Atlanta, GA"
Langston Stephens,25,DB,5100,168,FR,"Milwaukee, WI"
Max Mead,26,DB,6010,192,FR,"Belmont, NC"
Austin Wells,26,RB,5090,175,SR,"Brentwood, TN"
Cody Mitchell,27,DB,5110,180,JR,"Lexington, KY"
Nyjay Nelson,28,DB,5100,160,FR,"Baltimore, MD"
