Name,Number,Position,Height,Weight,Class,Hometown
Devin Cates,1,WR,6040,224,JR,"Yuba City, CA"
Kyrell Newell,2,DB,5100,174,SR,"Lakeville, MN"
Austin Dismond,3,DB,5100,184,SR,"Lee's Summit, MO"
Ben Nienhuis,4,QB,0,0,FR,"Oconomowoc, WI"
Terry Wallen,5,DB,5110,182,SR,"Brookfield, WI"
Matt Aceto,6,QB,0,0,FR,"Conifer, CO"
Alex Bray,7,QB,6030,179,SO,"Muskego, WI"
Fred Epting,8,LB,5110,194,SR,"Springfield, IL"
Alex Rogers,9,DB,0,0,FR,"Racine, WI"
Dawson Evans,10,DB,0,0,FR,"Edmond, OK"
Cole Neary,11,TE,6060,226,SR,"Carroll, IA"
Jeran Proctor,11,DB,0,0,FR,"Johnston, IA"
Cooper Christiano,12,DB,6000,193,JR,"Melbourne Beach, FL"
Dalton Taylor,12,TE,0,0,FR,"Columbus, NE"
Brady Bjorkman,13,WR,0,0,FR,"San Juan Capistrano, CA"
Sam Hefner,14,QB,6030,208,JR,"Saint Charles, MN"
Jabari Butler,15,DB,5100,184,SR,"Chicago, IL"
Grant Kraemer,15,QB,6030,224,SR,"Northridge, CA"
Conner Furu,16,RB,0,0,FR,"BLACK HILLS, WA"
Malik James,16,DB,5070,157,SO,"Kansas City, MO"
Alex Bonds,17,WR,5100,193,SO,"Hoffman Estates, IL"
Brandon Bullock,17,DB,5090,188,SR,"Austin, TX"
Braeden Hartwig,18,RB,0,0,FR,"Lincoln, NE"
Nick Mertes,19,DL,6020,240,SR,"Edina, MN"
Drew Lauer,20,RB,5100,197,JR,"Saint Peters, MO"
Daeonte Calvert,21,WR,6000,175,SO,"Broken Arrow, OK"
John Clark,21,LB,5110,194,SO,"Clarinda, IA"
JaRon Johnson,22,DB,5090,176,SO,"Oak Forest, IL"
Mitch McFarlane,22,WR,6030,178,SO,"Fond Du Lac, WI"
Sean Lynch,23,DB,5090,179,SR,"Hawthorn Woods, IL"
Isaiah Skinner,23,RB,5080,172,SO,"Glendale Heights, IL"
