Name,Number,Position,Height,Weight,Class,Hometown
Prince Gray,1,WR,5100,187,JR,"Miami Gardens, FL"
Pernell Rattray,2,RB,5100,219,SR,"West Palm Beach, FL"
Jamal Adjamah,3,RB,5060,189,JR,"Miami, FL"
Brian Burnett,4,WR,5100,191,SR,"Jacksonville, FL"
Jared Morris,5,RB,6010,200,SO,"Palm Bay, FL"
Daniel Thompson,5,DB,5110,178,FR,"Crawfordville, FL"
Torre Parker,6,DB,5060,168,SO,"Wildwood, FL"
Tyler Threatt,7,DB,5110,183,SR,"Mooresville, NC"
Ryder Litten,9,QB,5110,186,FR,"Bowling Green, KY"
Vasco Sanders,9,DB,5090,189,FR,"Macon, GA"
Calvin Turner Jr.,10,QB,5110,176,FR,"Bloomingdale, GA"
Rylan Wells,11,QB,6010,192,SR,"Tega City, SC"
Jared Hamilton,12,DB,6000,205,FR,--
Lamarr Washington,12,RB,5040,172,FR,"Boynton Beach, FL"
David Mareno,13,QB,6020,206,FR,"Valparaiso, FL"
Keenan Simpson,14,RB,5050,204,SO,"Summerville, SC"
C.J. Lewis,15,DB,5100,198,SO,"Cape Coral, FL"
James Allen,16,DB,5070,186,FR,"Celebration, FL"
JD Worth,16,QB,5110,188,FR,"Opelika, AL"
Griffin Garland,17,DB,6000,194,SR,"Jupiter, FL"
Jeremiah Johnson,18,DB,5100,174,SO,"Jacksonville, FL"
Kobie Dickerson,19,DB,5100,175,FR,"Goose Creek, SC"
Trevon Williams,19,RB,5050,140,FR,"Deltona, FL"
Caysaun Wakeley,20,LB,5070,200,SO,"Alachua, FL"
Akem Pierre,21,DB,5110,180,FR,"Sebring, FL"
Larenz Scroggins,21,RB,5080,187,JR,"Land O Lakes, FL"
Irvin Riley,22,RB,5090,185,SO,"Savannah, GA"
Tommy Mack,23,DB,5110,205,SO,"Titusville, FL"
Drezyn Parson,23,RB,5040,142,FR,"Tyrone, GA"
Maurice Flournoy,24,DB,5080,165,FR,"Fort Myers, FL"
Jalen Mason,24,RB,5080,175,FR,"Fort Pierce, FL"
Emon Smith,25,DB,5080,167,SR,"Pensacola, FL"
Jake Brito,26,LB,6000,232,SR,"Cypress, CA"
Blake Buffa,27,DB,5110,200,FR,"Weston, FL"
Stanley Spence,27,RB,6010,204,FR,"Stuart, FL"
Wade Benton,28,RB,5080,173,SO,"Savannah, GA"
Jordan Edmonds,28,DB,6090,169,FR,--
Akari Boss,29,RB,5080,156,FR,"Jacksonville, FL"
Jalen Gowen,30,CB,6000,169,FR,"Deltona, FL"
Daryl Norwood,30,RB,5060,190,SO,"Fort Pierce, FL"
Zach Parrish,31,DB,5100,177,SO,"Jacksonville, FL"
Deion Slade,31,RB,5090,182,FR,"Lilburn, GA"
Thomas Oporto,32,DB,6000,200,JR,"Delray Beach, FL"
Harrison Rodormer,33,LB,5110,221,SR,"Delray Beach, FL"
Hunter Bucknam,34,LB,5110,203,FR,"Hollywood, FL"
Will Montgomery,34,RB,5100,220,SO,"Nashville, TN"
Carson Pearlman,35,LB,6000,220,SO,"Fort Myers, FL"
Daniel Montoya,36,RB,5100,180,FR,"Weston, FL"
Joey Bernardini,37,RB,5080,206,FR,"Davidson, NC"
Jeffrey Vargas,37,DB,6000,185,JR,"Rogers, TX"
Ian Ainsworth,38,DB,6010,180,SR,"Johns Creek, GA"
Luis Alfonso,39,WR,5110,185,FR,"Fort Myers, FL"
