Name,Number,Position,Height,Weight,Class,Hometown
Jacob Abill,--,DL,6030,285,FR,"Clifton, NJ"
Connor Breit,--,LB,6010,220,FR,"Nanuet, NY"
Kevin Burke,--,S,5100,190,FR,"Purcellville, VA"
Casey Callahan,--,OL,6040,235,FR,"Royersford, PA"
Dom Carey,--,DL,6030,285,FR,"Philadelphia, PA"
Noah Carroll,--,OL,6000,186,FR,"Medford, NJ"
D'Mir Copeland,--,DL,6020,285,FR,"New Castle, DE"
Austin Day,--,QB,6020,180,FR,"Miami, FL"
Ryan Fitzgerald,--,OL,6060,280,FR,"Annapolis, MD"
Kyle Flaitman,--,S,6000,170,FR,"Islip Terrace, NY"
Sean Gaffney,--,TE,6050,220,FR,"Somerville, NJ"
Javier Garcia,--,OL,6020,265,FR,"Plantation, FL"
Jeremiah Gholston,--,S,5090,175,FR,"Orlando, FL"
Joe Giordano,--,LS,5110,220,FR,"Goshen, NY"
Mark Gordon,--,DL,6030,241,FR,"Mentor, OH"
Mike Hunsi,--,QB,5100,160,FR,"Toms River, NJ"
Maxx Imsho,--,S,5110,185,FR,"Middletown, NJ"
Mekhai Johnson,--,RB,5110,200,FR,"Dorchester, MA"
Colten Katcher,--,DL,6030,230,FR,"Miami, FL"
Wyatt McMahon,--,TE,6030,240,FR,"Hewlett, NY"
Dazhon Miller,--,RB,5110,190,FR,"Sharon Hill, PA"
Corey Mullaly,--,WR,6030,185,FR,"Poughkeepsie, NY"
Jerquan Newton,--,LB,6010,210,FR,"Clearwater, FL"
Jervon Newton,--,RB,5110,190,FR,"Clearwater, FL"
Nathaniel Pierre,--,OL,6050,285,FR,"Middle Village, NY"
David Shannon III,--,WR,6000,170,FR,"Clermont, FL"
Ben Stoy,--,OL,6020,265,FR,"Annapolis, MD"
Luke Strnad,--,QB,6000,210,FR,"Broadview Heights, OH"
Darryl Sullivan,--,OL,6020,247,FR,"Wappingers Falls, NY"
Jamal Valentin,--,CB,5090,160,FR,"Orlando, FL"
Delvin Wood,--,RB,5080,165,FR,"Millbrook, NY"
Teddy Wright,--,S,6000,190,FR,"Sharon Hill, PA"
Marcellus Calhoun,2,RB,6000,201,SR,"Columbus, OH"
Willie Barrett,3,LB,5110,220,JR,"Holiday, FL"
Jordyn Jean-Felix,5,S,6000,194,JR,"Suwanee, GA"
Ruben Avalos,8,LB,6010,205,SR,"Orlando, FL"
Mike White,10,QB,6000,191,JR,"Woodbury, NY"
Jacob Hallenbeck,12,QB,6030,195,FR,"West Simsbury, CT"
LaVell McCullers,13,QB,6030,205,JR,"Aberdeen, MD"
Lawrence Dickens,14,WR,5090,157,SR,"Spring Valley, CA"
Anthony Olivencia,15,WR,6010,191,SO,"Miami, FL"
Isaiah Watson,16,WR,5100,194,SO,"Gambrills, MD"
Areg Nazarian,20,RB,5060,165,SO,"Glendale, CA"
Justice Seales,20,S,6000,194,FR,"Brooklyn, NY"
Jake Taparausky,21,S,6010,196,SO,"Uxbridge, MA"
Dymond Wright,22,RB,5080,165,SO,"Collegeville, PA"
Justice Witowski,26,RB,5110,188,FR,"New Milford, NJ"
Tyler Gagnon,27,RB,5090,216,SR,"Grafton, NY"
Darryn Jordan,28,RB,5110,200,FR,"FOREST PARK, OH"
Andrew McElroy,31,S,6000,195,SO,"New Milford, NJ"
Wesley Beans,32,S,5100,188,JR,"New Oxford, PA"
Jerry Caporale,35,CB,5090,170,JR,"Toms River, NJ"
Antonio Hroncich,36,LB,6010,231,SO,"Ridgewood, NJ"
Brandon Miller,37,CB,5100,183,JR,"Suwanee, GA"
Josh Taylor,38,CB,6000,176,SO,"Jackson, NJ"
Seth Thompson,40,CB,5110,177,SO,"Pembroke Pines, FL"
Drew Daniel,41,CB,5090,181,SO,"Wharton, NJ"
Joseph Giglio,43,PK,6000,200,JR,"Silver Spring, MD"
KJ Lyons,44,CB,5090,150,FR,"Aberdeen, MD"
Connor Kamczyc,45,LB,5110,218,JR,"Elyria, OH"
Jack Griffith,46,S,5110,198,FR,"Hudson, OH"
Jordan Garofalo,47,WR,5090,168,JR,"Mamaroneck, NY"
Louis Iovine,48,TE,6030,210,SO,"Manalapan, NJ"
Jon Kanda,49,WR,6030,217,SO,"Clarksville, MD"
John Pierce,50,LB,6030,212,FR,"Miami, FL"
