Name,Number,Position,Height,Weight,Class,Hometown
Jordan Bentley,1,RB,6000,200,SO,"Guntersville, AL"
Rhomel Fields,2,DB,6020,195,JR,"Chicago, IL"
Monte Jones,2,WR,6040,200,SO,"Cleveland, OH"
Damion May,3,QB,6000,202,JR,"Biloxi, MS"
Aqeel Glass,4,QB,6040,225,FR,--
David Whitehead,4,DB,5110,170,JR,"Columbus, GA"
Isaiah Bailey,5,WR,6020,205,JR,"Carmichael, CA"
Teré Calloway,5,DB,5110,190,SR,"Seattle, WA"
Ledarion Heath,6,WR,6040,200,JR,"Phenix City, AL"
Amari Holloway,8,DB,6020,175,FR,"Pinson, AL"
Octayvius Miles,8,WR,5100,175,JR,"Mesquite, TX"
Dylan Smith,9,QB,6030,185,FR,"Robertsdale, AL"
Armoni Holloway,10,DB,6020,175,FR,"Pinson, AL"
Harvey Harris,11,DB,5100,170,SR,"Montgomery, AL"
Devonte King,12,DB,5110,160,SR,"Reform, AL"
Alan Rios,13,PK,5080,150,SO,"Tanner, AL"
Porter Sanford,13,QB,6030,235,SO,"Atlanta, GA"
Tyler Brown,14,DB,5100,190,JR,"Dothan, AL"
Torron Murray,15,DB,6020,190,FR,"Suwanee, GA"
Tuwile Wilson,16,DB,5100,170,FR,"Snellville, GA"
Elijah Timarky,17,LB,6010,240,JR,"Killeen, TX"
Alex Reeves,19,DB,6020,180,FR,"Ozark, AL"
Dexter Reese,20,DB,5100,170,SR,"Roanoke, AL"
Ke'Ashes Locklear,21,WR,6020,190,FR,"Huntsville, AL"
Jaylon Dorsey,23,DB,5100,175,JR,"Atlanta, GA"
Justin Brown,24,DB,5110,195,SR,"Birmingham, AL"
Nick Carden,25,PK,0,190,SR,"Huntsville, AL"
Solomon Hunter,26,LB,6030,235,JR,"SAN ANTONIO, TX"
Dylan Hamilton,27,DB,6010,190,JR,"Powder Springs, GA"
Dilan Kilpatrick,28,RB,5110,205,FR,"Fyffe, AL"
Tyrell Preston,29,DB,5100,165,SO,"Middletown, OH"
Jeremiah King,30,WR,5070,155,SO,"Huntsville, AL"
Adrian Portlock,30,DB,5110,190,SO,"Mobile, AL"
Byran Brower,31,RB,5100,195,SR,"Montgomery, AL"
Bryan Brower,32,LB,5110,220,SR,"Montgomery, AL"
Jordan Jones,33,LB,6010,210,SO,"Bessemer, AL"
Mike Mills,34,DB,5100,165,SO,"Dayton, OH"
Roderick Randolph,34,TE,6010,220,SR,"Madison, AL"
Reginald Paige,35,DB,5080,160,JR,--
Quantravis Kelly,36,LB,6010,215,SO,"Montgomery, AL"
Dominique Goodwin,37,DB,5100,170,JR,"Birmingham, AL"
Isaiah Watson-Deloach,38,PK,5110,175,FR,"Birmingham, AL"
Joseph Burke,39,RB,5100,210,SO,"Prattville, AL"
Desmond Fletcher,40,DB,6010,190,SO,"Atlanta, GA"
Tim White,42,LB,6010,220,JR,"Elberton, GA"
Jeron Jones,43,RB,5080,202,SO,"Phenix City, AL"
Alijah Jordan,44,DL,6010,250,SO,"Mobile, AL"
Jalen Douglas,45,LB,6010,200,JR,"Houston, TX"
Connor Schaffer,48,DL,6040,235,FR,"Pembroke, GA"
Ryan Ducksworth,50,DL,6010,245,SR,"Soso, MS"
Devin Andrews,51,LS,6010,240,SR,"Hazel Green, AL"
Kenneth Davis,52,LB,5110,220,SR,"Pensacola, FL"
Alvintae Kirksey,53,OL,6010,285,SR,"Mobile, AL"
Vernon Moland,54,DL,5100,235,JR,"Birmingham, AL"
Dante Jamison,57,DL,6030,230,SO,"Palmdale, CA"
Chaz Wilson,59,OL,6010,255,JR,"Baton Rouge, LA"
Dexter Fuqua,61,OL,6020,290,FR,"Tanner, AL"
Chris Carter,62,OL,6020,290,FR,"Mobile, AL"
Austin Simmons,68,OL,6070,360,SR,"Montgomery, AL"
Patrick Burroughs,70,OL,6040,245,JR,"Pleasant Grove, AL"
Tevoris Butler,71,OL,6040,310,SO,"Dothan, AL"
Peter Parrick,72,OL,6030,320,JR,"Petaluma, CA"
Jay Nance,73,OL,6030,295,FR,"Dothan, AL"
Cedric Pointer,74,OL,6040,290,FR,"Decatur, AL"
Shonye Reams,75,OL,6040,305,SO,"Dothan, AL"
Joshua Williams,76,OL,6030,285,SO,"Mobile, AL"
Kareem Shabazz,77,OL,6040,240,FR,"Atlanta, GA"
Malcolm Johnson,78,OL,6030,295,SR,"Atlanta, GA"
Zabrian Moore,80,WR,6030,185,FR,"Tuscaloosa, AL"
Malachi Olszewski,81,TE,6040,235,FR,"Hazel Green, AL"
Charles Shepherd,82,WR,6010,190,FR,"Mobile, AL"
Marceles Clash,83,WR,6010,170,SO,"Altadena, CA"
Kalias Robertson,84,TE,6030,210,SR,"Tuscaloosa, AL"
Yurik Bethune,85,DL,6040,210,JR,"Mobile, AL"
Anthony Howard,87,TE,6030,240,FR,"Birmingham, AL"
Kendric Johnson,89,TE,6030,225,FR,"New Market, AL"
Cameron McElroy,90,DL,6000,310,FR,"Eufaula, AL"
Cameron Bejacmar,91,DL,6050,225,FR,"Coconut Creek, FL"
Breon Austin,92,DL,6030,280,FR,"Eufaula, AL"
Austin Sumlin,93,DL,6030,240,FR,"Hazel Green, AL"
Deangelo Woods,94,DL,6020,335,FR,"Cordova, AL"
Averee Giles,95,DL,6010,345,SR,"Lilburn, GA"
Zack Oglesby,96,DL,6040,250,SO,"Gadsden, AL"
