Name,Number,Position,Height,Weight,Class,Hometown
Deago Sama,1,DB,5110,162,JR,"Boca Raton, FL"
Felix Harper,2,QB,5110,180,FR,"Fairburn, GA"
OJ O'Neal,3,DB,6010,195,JR,"Fayette, MS"
Charles Hughes,5,WR,6020,197,JR,"Macon, MS"
Tavares Johnson,6,WR,6030,185,SO,"Cleveland, MS"
Tim McNair Jr.,7,WR,6020,185,FR,"Collins, MS"
De'Lance Turner,8,RB,6010,214,SR,"McLain, MS"
Marquis Warford,10,WR,5100,185,JR,"SAN ANTONIO, TX"
Jaborian McKenzie,11,WR,5090,185,SR,"Woodville, MS"
Thaddeus Peyton,12,QB,6040,210,FR,"Monticello, MS"
Noah Johnson,13,QB,6000,185,SO,"Tampa, FL"
Deundre Pickett-White,14,QB,6010,186,JR,"Miami, FL"
Simeon Kimble,15,DB,5100,180,JR,"Cleveland, MS"
Juan Anthony Jr.,16,WR,6000,185,FR,"Woodville, MS"
Lenorris Footman,17,QB,6000,181,SR,"Monticello, FL"
Leishaun Ealey,18,DB,5110,168,JR,"Jacksonville, FL"
Corey McCullough,19,PK,5110,175,SO,"Louisville, MS"
Allen Bruce,20,DB,6000,168,SO,"Lake Providence, LA"
Jayron Harness,21,DB,6030,192,SR,"Madison, MS"
Taurence Wilson,22,DB,6010,195,SO,"Lakeland, FL"
Marquise Forman,23,RB,5110,180,FR,"Cedar Hill, TX"
Nick Brown,24,DB,6020,205,SR,"Lorman, MS"
Isiah Thomas,25,DB,6000,190,JR,"Decatur, MS"
Quintin Smith,26,DB,6010,172,JR,"West Palm Beach, FL"
Daniel Franklin,27,DB,5110,170,SR,"Memphis, TN"
Brady Smith,28,DB,6000,185,JR,"Batesville, MS"
Johnathon Hauer,29,WR,5110,185,JR,"Belzoni, MS"
Darius Dean,30,RB,5090,185,JR,"Covington, GA"
Christian Brown,31,LB,5110,225,SR,"Lorman, MS"
Qwynnterrio Cole,32,DB,6030,190,FR,"Memphis, TN"
Josias Jean,33,P,5100,178,FR,"Fort Myers, FL"
Alvin Wilson,34,LB,6000,230,JR,"Lexington, MS"
Nichel Herron,35,LB,6010,205,FR,"Memphis, TN"
Titus Lee,36,S,5100,180,FR,"Florence, MS"
