Name,Number,Position,Height,Weight,Class,Hometown
Devante Kincade,1,QB,6010,190,SR,"Dallas, TX"
Charles Wright,3,QB,6000,190,SO,"Monroe, LA"
Martez Carter,4,RB,5090,205,SR,"Monroe, LA"
De'Arius Christmas,5,LB,5100,220,JR,"Vicksburg, MS"
Lyndemian Brooks,6,WR,5080,165,SO,"Austin, TX"
Danquarian Fields,7,DB,6030,190,SO,"Arcadia, LA"
Devohn Lindsey,9,WR,6030,205,JR,"Little Rock, AR"
Joshua Mosley,10,QB,6000,195,FR,"Shreveport, LA"
Malik Route,10,WR,5070,150,FR,"Tucker, GA"
Jamie King,11,QB,6030,221,JR,"Azle, TX"
Dedrick Shy,11,DB,6020,185,JR,"New Orleans, LA"
Quintin Guice,13,WR,6010,190,SO,"Monroe, LA"
T'Kevian Rockwell,14,DB,6010,205,SR,"Mount Pleasant, TX"
Trevon Cherry,15,DB,6010,180,JR,"Tulsa, OK"
Calief Samon,16,WR,5100,155,JR,"Detroit, MI"
Darrell Clark,17,WR,6000,180,SO,"New Orleans, LA"
Raylon Richardson,18,WR,6040,195,FR,"Atlanta, GA"
Geremy Hickbottom,19,QB,6040,210,FR,"Mobile, AL"
Ladarrin Ellis-Jones,20,RB,5080,180,SO,"La Marque, TX"
Percy Cargo,21,DB,6020,210,JR,"Donaldsonville, LA"
Kenan Fontenot,23,DB,6000,180,FR,"Lake Charles, LA"
Diante Bridgewater,24,DB,5100,170,SO,"New Roads, LA"
Montrel Meander,24,DB,6030,215,SR,"Amarillo, TX"
Devanir Martin,25,DB,5090,165,FR,"Dothan, AL"
Justin Victorian,26,DB,5100,170,SO,"Roswell, GA"
Nicholas Black,27,RB,5100,190,SO,"Houston, TX"
DeSherrius Flowers,28,RB,6010,205,SO,"Mobile, AL"
Garrett Urban,29,P,5100,175,FR,"Houston, TX"
Derrick Dixon,30,DB,5100,210,SR,"Dallas, TX"
Joseph McWilliams,31,DB,5110,175,SO,"Baton Rouge, LA"
