Name,Number,Position,Height,Weight,Class,Hometown
Brandon Maiden,1,DB,6010,220,JR,"Clarksdale, MS"
Justin Jemison,2,DB,6030,190,SR,"Baton Rouge, LA"
DeShawn Tillman,3,DL,6040,240,JR,"Bruce, MS"
Jairus Moll,4,WR,5090,180,SR,"Laplace, LA"
Robert Johnson,5,RB,6000,225,JR,"Raymond, MS"
Dario Robinson,5,DB,5100,185,JR,"Amory, MS"
Carle Ollie,6,WR,6030,190,FR,"Jackson, MS"
Zavian Bingham,7,DB,5100,190,SR,"Terry, MS"
Benjy Parrish,8,WR,6020,180,SO,"Ellenwood, GA"
LaMontiez Ivy,9,QB,6030,215,SR,"East Saint Louis, IL"
Juwan Adams,10,QB,6030,210,FR,"Summit, MS"
Derrick Bobo,11,DB,5090,175,SR,"Memphis, TN"
Brent Lyles,12,QB,6020,185,FR,"Indianapolis, IN"
Kwame Bowens,13,LB,6000,220,SR,"Lithonia, GA"
Keontre Anderson,14,DL,6040,230,JR,"Canton, MS"
Jarin Morikawa,15,QB,6000,190,JR,"Mililani, HI"
Benjamin Thomas,16,LB,6010,200,SR,"Eufaula, AL"
Jordan Johnson,17,RB,6000,195,FR,"Terry, MS"
Jordan Williams,18,QB,6000,180,SO,"Memphis, TN"
De'Ryan Wansley,19,LB,6040,210,FR,"Decatur, MS"
Tenoa Alex,20,DB,5110,175,FR,"Zachary, LA"
Preston Hughes,21,DB,6000,190,SR,"Daphne, AL"
Justin Blue,22,RB,5080,194,JR,"Brookhaven, MS"
Romello Shumake,23,WR,5100,170,SO,"Lithonia, GA"
Demory Monroe,24,DB,5110,180,JR,"Upper Marlboro, MD"
Tre Jester,25,LB,6000,205,JR,"Atlanta, GA"
Ramone Ward,26,DB,6010,182,SO,"Decatur, GA"
Jamal Hawkins,27,DB,6000,185,JR,"Lithonia, GA"
Ryan Theyard,28,DB,6020,180,FR,"New Orleans, LA"
Javancy Jones,29,LB,6020,245,SR,"Macon, MS"
Josh Miller,30,DB,5100,175,FR,"Kokomo, MS"
