Name,Number,Position,Height,Weight,Class,Hometown
Dominic DeLira,1,QB,6000,198,SO,"Lake Travis, TX"
Anthony Johnson,2,DL,6040,232,--,"Miami, FL"
Tylor Cook,3,RB,5080,181,SO,"Dallas, TX"
Darvin Kidsy,4,WR,6010,180,SR,"Missouri City, TX"
Andre Joseph,5,DB,6020,170,SO,"Eastvale, CA"
Brad Woodard,5,RB,5080,182,JR,"Dickinson, TX"
Sean Jones,6,LB,6010,201,SR,"Frisco, TX"
Dondre Dobbins,7,DB,6020,206,SR,"Baton Rouge, LA"
Matthew Butler,8,RB,5070,170,JR,"Baton Rouge, LA"
Austin Sessums,9,QB,6010,180,FR,"Wesley Chapel, FL"
Elijah Odom,10,QB,6030,207,SO,"Newport News, VA"
Jay Christophe,11,QB,6030,225,SR,"Addis, LA"
Carter Jefferson,12,WR,6000,183,JR,"Pearland, TX"
Rayvon Beard,13,DB,5100,171,SO,"Beaumont, TX"
Tracy Johnson,14,WR,6020,197,SR,--
Joshua Murray,15,DB,6000,168,FR,"Houston, TX"
Terio Brown,16,RB,5080,165,FR,"Humble, TX"
Travis Hutchinson,17,LB,6000,220,JR,"Jacksonville, FL"
Eric Townsend,18,DB,5110,159,FR,"Sugar Land, TX"
Darrian Theall,19,DB,6010,180,SR,"Houston, TX"
Daequan Jones,20,WR,5050,138,SO,"La Marque, TX"
Matthew Stevenson,21,DB,5100,180,FR,"Houston, TX"
Christian Eddison,22,RB,5080,193,JR,"Odessa, TX"
Luis Reyes,23,PK,5110,182,FR,"Houston, TX"
Kentarious Walker,24,DB,6010,205,FR,"Houston, TX"
Jayden Jackson,25,DB,5090,164,FR,"Cibolo, TX"
Marquel Daigle,26,DB,5100,177,FR,"Gray, LA"
Darius Mitchell,27,FB,6000,210,FR,"Lewisville, TX"
Patrick Howell,28,LB,6020,250,FR,"Pearland, TX"
Paul Favorite,29,LB,6020,209,FR,"Dallas, TX"
Archie Rice,30,DB,6010,205,SR,"Avondale, AZ"
Zafir Murphy,31,DB,6000,173,SO,"Houston, TX"
Bradlee Warrick,32,FB,6030,248,FR,"Pittsburg, TX"
Rajan Cunningham,33,RB,5080,186,FR,"Dallas, TX"
Dallas Blacklock Jr.,35,DB,5090,165,FR,"Houston, TX"
Joshua Brooks,36,DB,6000,187,JR,"New Orleans, LA"
Alec Prince,37,DB,6000,172,FR,"Pearland, TX"
Marquis Walker,38,DB,5080,179,FR,"Houston, TX"
Levis Sampson Jr.,39,DB,5100,183,FR,"Arlington, TX"
Tony Upchurch,40,WR,6010,230,JR,"Pearland, TX"
Demontario Anderson,41,LB,6030,199,FR,"Beeville, TX"
Christopher Castle-Wise,42,LB,6020,193,FR,"Woodville, TX"
Donald Halstead,43,PK,6000,198,SR,"Santa Fe, TX"
Tyriq Burnett,45,LB,6020,245,FR,"Terrell, TX"
Adrian Munoz,46,FB,6010,166,FR,"Carrollton, TX"
Mark Wheeler,47,FB,5110,260,SO,"Huntsville, TX"
Sergio Calvillo,48,PK,6020,167,FR,"La Porte, TX"
Adrian Carter,49,FB,5090,220,FR,"Houston, TX"
Tyler Boudreaux,50,LS,6000,208,SO,"Deer Park, TX"
Kolby Stewart,51,LB,6000,208,FR,"Sweeny, TX"
Darius Stapleton,52,DL,6020,235,JR,"Union, NJ"
Ray Clayborn,53,OL,6000,270,FR,"Houston, TX"
Julian Marcantel,54,LB,6020,220,SO,"Sulphur, LA"
Jahlil Mathis-Ellis,55,OL,6020,315,SR,"Atlanta, GA"
Micah Minter,56,DL,6020,227,SO,"Shreveport, LA"
Aaron Cuevas,58,PK,5080,175,FR,"Houston, TX"
Maurice Walker,59,LB,5100,208,SR,"Houston, TX"
Nate Thompson,60,OL,6060,330,FR,"Rowlett, TX"
Jimmy White,61,DL,6040,295,FR,"Willis, TX"
Jimmy Williams,62,OL,6010,320,SR,"Houston, TX"
Nick Mouton,63,OL,6030,326,SO,"Houston, TX"
Ryder Rae,64,OL,6020,279,FR,"La Porte, TX"
Jason Briggs,65,DL,6030,233,FR,"Baton Rouge, LA"
Mene Khepera,66,LB,5090,241,FR,"Dallas, TX"
Myles Word,67,LB,6000,184,FR,"Richmond, TX"
Anthony Phillips,68,OL,6020,325,FR,"Houston, TX"
Myles Woods,69,FB,5090,200,FR,"Pasadena, TX"
Archie Williams,70,LB,6000,244,FR,"Dickinson, TX"
Jonathon Jones,71,LB,5090,210,FR,"Willis, TX"
Cedric Walter,72,DL,6020,280,SO,"Houston, TX"
Dominic DeRiggi,73,OL,6040,292,SO,"Houston, TX"
Lester Blount,74,OL,6040,360,FR,"Fresno, TX"
Andrew Moore,77,OL,6030,280,JR,"Baton Rouge, LA"
Trevin Watson,78,QB,6030,197,JR,"Channelview, TX"
Mildren Montgomery,79,OL,6050,283,JR,"Oklahoma City, OK"
Isaiah Thompson,80,TE,6050,218,FR,"Spring, TX"
Shamon OBryant,81,WR,6000,180,FR,"Missouri City, TX"
Ladarryl Blair,82,WR,6000,177,JR,"Dallas, TX"
Bryston Cummings,84,WR,6030,212,SO,"Mesquite, TX"
Mario Smalls,85,TE,6020,253,SR,"Plano, TX"
DeAndre Angelle,86,WR,5100,179,FR,"Port Arthur, TX"
E.J. Hackett,87,WR,5100,176,FR,"Dayton, TX"
Malik Webb,88,WR,6010,182,SO,"Dallas, TX"
Jadon McConnell,89,TE,6030,275,FR,"La Porte, TX"
Brelynd Goods,90,DE,6030,247,JR,"Houston, TX"
Chukwudalu Ononenyi,91,DL,6000,228,FR,"Missouri City, TX"
Ike Onwuasoanya,92,DL,6020,272,FR,"Houston, TX"
Quincey Williams,94,DL,6030,321,FR,"Cibolo, TX"
Tarrol Stafford,95,DL,6040,285,SR,"New Haven, CT"
Demetrius Freeman,96,DL,6000,315,FR,"Mexia, TX"
Clay Calhoun,97,FB,6010,245,SO,"La Porte, TX"
Byron Edward,98,DB,5090,168,JR,"Mansfield, TX"
Dempsey Robinson,99,DL,6030,280,SO,"Oak Hills, CA"
