Name,Number,Position,Height,Weight,Class,Hometown
Trevor Wright,1,DB,6010,180,SR,"Greeneville, TN"
Tavon Lawson,4,DB,6010,225,JR,"Talladega, AL"
Derek Mahaffey,5,DL,6020,305,JR,"Oxford, AL"
Bingo Morton,5,WR,6020,215,JR,"Atlanta, GA"
C.J. Fritz,6,DB,5110,175,JR,"Chattanooga, TN"
D.J. Prather,7,DL,6040,260,SR,"Calhoun, GA"
Isaiah Mack,8,DL,6030,290,JR,"Tunnel Hill, GA"
James Stovall,8,WR,6030,215,SR,"Cleveland, TN"
Alphonso Stewart,9,WR,6030,210,SR,"Robertsdale, AL"
DeJuan McQuarters,10,WR,5110,175,JR,"Memphis, TN"
Wil Young,11,WR,6030,215,JR,"Mobile, AL"
Cole Copeland,12,QB,6040,200,FR,"Cleveland, TN"
Xavier Johnson,13,WR,5100,160,JR,"Knoxville, TN"
Alejandro Bennifield,15,QB,6030,220,SR,"Lovejoy, GA"
Brandon Dowdell,17,DB,5100,195,FR,"Cordele, GA"
Dy'Kari Hickey,18,WR,6010,175,SR,"Powder Springs, GA"
Tae Davis,19,LB,6030,215,SR,"Oxford, AL"
Bryce Nunnelly,19,WR,6020,185,FR,"Cleveland, TN"
Dale Warren,20,LB,6010,225,SR,"Covington, GA"
D.J. Jackson,21,DB,6010,186,FR,"Fort White, FL"
Shaqualm McCoy,21,RB,5110,220,SR,"Chattanooga, TN"
Jabril Malone,22,DB,5110,190,FR,"Memphis, TN"
Richardre Bagley,23,RB,5090,180,SR,"Powder Springs, GA"
Alex Trotter,24,RB,5090,185,JR,"Chattanooga, TN"
Rashun Freeman,25,DB,5110,190,FR,"Chattanooga, TN"
Zach Pfeifer,26,WR,6010,180,FR,"Nashville, TN"
Demond Ross,26,LB,6020,200,FR,"Panama City, FL"
Jerrell Lawson,27,DB,6020,190,FR,"Brundidge, AL"
Cortez Davis,28,DB,5110,170,FR,"DeKalb, GA"
Lucas Webb,29,DB,6010,205,SR,"Northport, AL"
Adrian King,30,DB,5100,195,SO,"Montgomery, AL"
K.J. Roper,31,DB,6020,210,SO,"Knoxville, TN"
Tanner Dillard,33,FB,6010,230,JR,"Cleveland, TN"
Jahsari Patterson,33,LB,6010,205,FR,"Cairo, GA"
Chris Broadwater,34,RB,6010,210,FR,"Tucker, GA"
Brenton Merritt,34,DB,5110,175,JR,"Gainesville, GA"
Michael Bean,35,LB,6030,230,SO,"Canton, GA"
Kerrington Wilson,36,LB,6010,215,SO,"Chattanooga, TN"
Ronnie Collins,37,DB,6010,180,FR,"Lake City, FL"
Chris Miller,37,RB,5080,180,SO,"Hiram, GA"
Emory Norred,38,LS,6010,225,SR,"Chattanooga, TN"
Jordan Jones,39,DB,5100,160,SO,"Smyrna, TN"
Marshall Cooper,40,LB,6010,210,SO,"Hixson, TN"
Colin Brewer,41,PK,6030,215,SO,"Chattanooga, TN"
Hawk Schrider,42,LB,6030,230,SO,"Berkeley, CA"
Torrez Finney,43,FB,5080,230,FR,"Macon, GA"
C.J. Winston,43,LB,6050,195,FR,"Gadsden, AL"
Khayyan Edwards,44,DL,6030,240,SO,"Macon, GA"
Cole Johnson,44,FB,6020,250,FR,"Chattanooga, TN"
Cody Bennett,45,LB,6010,230,JR,"Hohenwald, TN"
T.J. Jenkins,46,LB,6020,230,SR,"Tampa, FL"
Jacob Bailey,47,PK,6010,170,FR,"Mount Juliet, TN"
Eli Shepherd,48,LB,6010,230,FR,"Lagrange, GA"
Jacob Webster,49,TE,6020,210,FR,"Nashville, TN"
Ian Hayes,50,LB,6020,225,SO,"Chickamauga, GA"
Zach Feaster,51,LB,6020,215,FR,"Opelika, AL"
McClendon Curtis,52,OL,6080,320,FR,"Chattanooga, TN"
Luke Davis,53,LB,6020,220,SO,"Englewood, TN"
Dakota Davis,54,OL,6030,280,FR,"Knoxville, TN"
Branden Parker,55,OL,6030,295,JR,"Lithonia, GA"
Malcolm White,56,OL,6060,305,SO,"Johnson City, TN"
Andrew Hill,57,LB,6010,225,JR,"Jackson, TN"
Brandon Bourk,58,DL,6030,275,SR,"Hendersonville, TN"
