Name,Number,Position,Height,Weight,Class,Hometown
Domenique Williams,1,DB,5100,160,JR,"Charlotte, NC"
Kaman Cooper,2,DB,6020,205,SO,"Warner Robins, GA"
Drew Johnson,2,QB,6010,195,FR,"Spartanburg, SC"
Jovany Aris,3,WR,5080,167,JR,"Delray Beach, FL"
Thomas Henderson,3,DB,6000,175,FR,"Dublin, OH"
Dontavius Monroe,3,RB,5080,186,SO,"Delray Beach, FL"
Karon Delince,4,DB,5090,170,FR,"Phenix City, AL"
Vincent Lowe,4,WR,5090,181,SR,"Chesapeake, VA"
Keanu James,5,DB,5100,172,JR,"Dacula, GA"
Jajuan Stinson,6,RB,5090,186,JR,"Knoxville, TN"
Titus Tucker,6,DB,6020,215,FR,"Lenoir, NC"
Austin Herink,7,QB,6030,209,JR,"Cleveland, TN"
Tyler Richardson,7,DB,6000,180,FR,"Cincinnati, OH"
River Boruff,8,LB,6020,228,JR,"Sparta, TN"
Tyrique Sandusky,8,QB,6010,212,FR,"Memphis, TN"
Dalton Fisher,9,DB,6000,190,FR,"Spring Hill, TN"
Drake Powell,9,WR,6020,200,JR,"Clinton, TN"
Austin Gatewood,10,LB,6010,225,JR,"Ooltewah, TN"
D.J. Vanderwerf,10,QB,6000,208,SO,"Sweetwater, TN"
Keith Coffee,11,WR,6040,187,SO,"Lilburn, GA"
Dylan Noe,11,QB,6020,206,FR,"Morristown, TN"
Trey Quillin,11,LB,6020,235,JR,"New Albany, OH"
Cameron Butler,12,DB,5110,175,JR,"Millington, TN"
Dylan Wieger,12,QB,6030,235,SO,"Kingsport, TN"
Caleb Bethel,13,PK,5100,170,FR,"Clinton, TN"
Jeremy Lewis,13,DB,5110,174,SO,"Lawrenceville, GA"
Tyree Robinson,14,DB,5110,177,FR,"Gainesville, GA"
Chris Cuberson,15,DB,6000,194,SO,"Morristown, TN"
Falon Lee,15,RB,5100,203,SR,"Macclenny, FL"
Conner Johnson,16,WR,6020,180,FR,"Johnson City, TN"
Ja'Vonte Williams,16,DB,5110,171,SO,"Cincinnati, OH"
Quan Harrison,17,RB,5100,183,SO,"Greeneville, TN"
Bryson Sexton,17,QB,6040,205,FR,"Dandridge, TN"
Tyrik Stewart,18,DB,6000,190,FR,"Chattanooga, TN"
Malik Styles,18,WR,5100,176,JR,"Dandridge, TN"
Christian Gibson,19,LB,6010,200,SO,"Bristol, TN"
Nick Sexton,19,QB,6030,204,JR,"Seymour, TN"
Malcom Herrington,20,DB,5090,169,FR,"Powder Springs, GA"
Andrew Heyward,20,WR,6000,175,SO,"Powder Springs, GA"
Jack Shoulders,21,WR,6000,184,SO,"Nashville, TN"
Bryce Suber,21,DB,5100,184,SO,"Lebanon, TN"
Tony Francois,22,WR,5090,169,JR,"Ooltewah, TN"
Zack Yancey,22,LB,5110,210,FR,"Opelika, AL"
Quay Holmes,23,RB,6010,211,FR,"Powder Springs, GA"
Charlie Jackson,23,DB,6020,192,SO,"Christiansburg, VA"
Alonzo Francois,24,LB,5090,197,JR,"Ooltewah, TN"
Adam Mitchell,24,TE,6030,210,SO,"Bristol, TN"
Daren Ardis,25,DB,5100,169,SR,"Bradenton, FL"
Austin Hicks,26,LB,6030,205,FR,"Elizabethton, TN"
Artevius Smith,26,WR,5100,172,FR,"Birmingham, AL"
Zayquan Gillespie,27,DB,6000,180,FR,"Gatlinburg, TN"
Matt Thompson,27,RB,5110,227,JR,"Morristown, TN"
Jackson Trawick,28,DB,5090,180,SR,"Suwanee, GA"
Kashif Warren,28,WR,5100,165,FR,"Knoxville, TN"
