Name,Number,Position,Height,Weight,Class,Hometown
Ostin McPherson,2,RB,5080,170,SO,"Mobile, AL"
JoJo Tillery,3,S,6020,205,JR,"Hixson, TN"
Bryce Motes,5,WR,6000,185,SR,"Fleming Island, FL"
Lennox McAfee,6,RB,5070,175,JR,"Nashville, TN"
Joe Newman,8,QB,5110,177,SO,"Riverdale, GA"
Cole Cleary,9,WR,6010,205,JR,"Flat Rock, NC"
Terrance Morris,9,LB,6010,225,SR,"Chester, SC"
Miller Mosley,10,QB,5110,182,FR,"Mobile, AL"
Ulysses Strawter,10,S,5100,185,FR,"Chattanooga, TN"
Blake Morgan,11,RB,5100,190,SO,"St. Johns, FL"
Corey Cooper,12,QB,5110,185,FR,"New Bern, NC"
Darron Paschal,12,CB,5100,185,SO,"Atlanta, GA"
Mason Alstatt,13,S,6000,195,SO,"Lexington, KY"
Brandon Goodson,14,QB,6000,205,SR,"Dacula, GA"
George Gbesee,15,CB,5080,180,SO,"Murfreesboro, TN"
Omari Johnson,17,CB,6000,185,FR,"Goose Creek, SC"
Dimitri Redwood,18,CB,6020,200,SO,"North Ridgeville, OH"
R.J. Taylor,19,WR,5110,190,SR,"Lexington, KY"
Donavan Anderson,20,DB,5110,175,FR,"Boiling Springs, SC"
Colton Clemons,21,LB,6000,245,SR,"Fayetteville, GA"
Ellis Pace,22,RB,5110,190,JR,"Flat Rock, NC"
Chase Nelson,23,FB,5100,228,SR,"Alpharetta, GA"
Devin Watson,24,CB,5110,195,JR,"Gainesville, GA"
Jamison Chapman,25,RB,5100,190,FR,"Dillon, SC"
Graham Massey,26,S,6000,185,JR,"Marietta, GA"
Dominique Lemon,27,CB,5100,195,JR,"Blythewood, SC"
Ryan Lovelace,28,RB,5090,195,FR,"Sugar Hill, GA"
Andre Stoddard,29,FB,5100,230,JR,"Greenville, SC"
Kent Phelps,30,RB,5110,185,FR,"Hagerhill, KY"
Malik Rivera,31,S,5110,195,SR,"St. Johns, FL"
Evan Suggs,32,FB,6000,190,FR,"Boone, NC"
Brandon Brown,33,LB,6010,230,FR,"Summerville, SC"
Luke Carter,34,P,6010,220,SO,"Florence, SC"
