Name,Number,Position,Height,Weight,Class,Hometown
Todd Beebe,--,OL,6040,295,FR,"Vernon, TX"
Connor Chesshir,--,P,6000,195,FR,"Pipe Creek, TX"
Drew Delaney,--,WR,6000,160,FR,"Dallas, TX"
D.J. Fuller,--,WR,6010,180,SR,"Chicago, IL"
Nicolas Greenwell,--,CB,5090,170,FR,"Leander, TX"
Houston Hance,--,S,6000,205,FR,"Abilene, TX"
Marcus Long,--,LB,6010,205,SO,"Irving, TX"
Dylan Lopez,--,OL,6020,295,FR,"Fort Worth, TX"
Hayden Mark,--,OL,6030,295,FR,"Plano, TX"
Ben Norman,--,LB,6010,205,FR,"Temple, TX"
Kyle Ohlen,--,OL,6020,300,FR,"Austin, TX"
Chance Pierce,--,FB,6000,225,FR,"Bridgeport, TX"
Jacob Urbanczyk,--,RB,5100,170,FR,"Dallas, TX"
Jordan White-Sanders,--,WR,6000,190,FR,"Olton, TX"
Dallas Sealey,1,QB,6000,210,JR,"Lawton, OK"
DeShun Qualls,2,WR,5100,160,SO,"Houston, TX"
Carl Whitley,3,WR,6010,210,SR,"SAN ANTONIO, TX"
Erik Huhn,4,S,6030,200,JR,"Schertz, TX"
Troy Grant,5,WR,6020,190,SR,"Brooksville, FL"
Luke Anthony,6,QB,6000,195,FR,"Fort Worth, TX"
Kade Munden,8,QB,6030,215,SR,"Waco, TX"
Kalin Sadler,9,WR,5090,170,JR,"Lawton, OK"
Bryce Baccarini,12,WR,6020,210,FR,"Keller, TX"
Bryson Gates,12,LB,6040,230,SR,"Fairfield, TX"
Adonis Davis,13,CB,5090,170,SO,"Bastrop, TX"
Cody Ennis,15,TE,6040,270,JR,"SAN ANTONIO, TX"
Jase Hammack,16,QB,6010,215,SO,"Andrews, TX"
Jamar Mack,17,CB,5090,180,JR,"Dallas, TX"
Justin Miller,18,WR,5080,170,SO,"Del Valle, TX"
Kwame Darko-Mensah,19,DB,5100,185,FR,"Euless, TX"
Sema'J Davis,19,QB,6000,180,FR,"Midland, TX"
Royce Moore,21,LB,5100,190,SR,"Los Angeles, CA"
De'Andre Brown,22,RB,5110,195,SR,"Lewisville, TX"
Tracy James,23,RB,5110,220,SO,"Dallas, TX"
Obinna Udoye,24,CB,6010,180,FR,"Cedar Park, TX"
Jeremiah Chambers,25,LB,6020,225,SO,"Austin, TX"
Jack Roberson,26,RB,5090,160,FR,"North Richland Hills, TX"
Aaron Bunting,27,RB,5090,170,FR,"Ewa Beach, HI"
Simon Laryea,29,P,6010,200,JR,"Scottsdale, AZ"
Koy Richardson,30,CB,5080,170,FR,"Angleton, TX"
Clabe Holmes,31,CB,5110,165,SO,"Houston, TX"
Bolu Onifade,32,S,6000,185,SO,"Oklahoma City, OK"
Caleb Cobb,33,LB,6010,210,FR,"Clarendon, TX"
Sam Denmark,34,LB,6010,225,SR,"Las Cruces, NM"
Myles Solsberry,35,LB,6010,240,SR,"Plano, TX"
David Chandler,36,LB,6010,240,SO,"Caddo Mills, TX"
Dylan Douglass,37,DE,6040,250,SR,"Canyon, TX"
Landry Hutchins,38,S,5110,185,FR,"Keller, TX"
Dante Williams,39,CB,6000,185,FR,"Frisco, TX"
Brandon Richmond,41,S,6000,195,JR,"Cypress, TX"
Tryce Prince,42,LB,5110,205,JR,"Ada, OK"
Nik Grau,43,PK,6010,230,SR,"Grapevine, TX"
Qua'Shawn Washington,45,RB,5100,210,FR,"Abilene, TX"
Quincy Dunn,46,LB,6000,220,JR,"Lancaster, TX"
Jack Gibbens,47,LB,6030,240,FR,"Spring Branch, TX"
Mason Hite,48,TE,5090,240,JR,"Corinth, TX"
Christian Jordan,49,LB,6030,210,SO,"Royse City, TX"
Keith Washington,50,DE,5110,230,FR,"Rowlett, TX"
Austin Hisler,51,OL,6040,285,SR,"Cedar Park, TX"
Corey Smith,52,DE,5110,240,SO,"Missouri City, TX"
Cordell Ijoma,54,DE,6010,240,FR,"Houston, TX"
Kameron Hill,55,DE,6000,215,FR,"Stafford, TX"
Gavin Burford,56,LB,6010,220,JR,"Lewisville, TX"
Brady Melde,57,OL,6030,290,SO,"New Braunfels, TX"
Melvin Brown,58,LB,5100,230,SO,"Dallas, TX"
Andren Anderson,59,OL,6010,285,SO,"Lubbock, TX"
Tony Davis II,60,DE,6020,195,FR,"Benton, LA"
Kade Parmelly,61,OL,6030,300,FR,"Abilene, TX"
Anietie Etuk,62,OL,6000,270,FR,"Dickinson, TX"
Richard Duran,63,DE,6030,245,FR,"Houston, TX"
Nathan Badillo,64,LB,5100,225,FR,"Fort Worth, TX"
Conner Moore,65,DT,6020,240,FR,"Dublin, TX"
Slayde Anderson,66,OL,6020,275,FR,"Abilene, TX"
Kenneth Odina,67,DE,6010,245,FR,"Seabrook, TX"
Jon Crisp,68,OL,6040,260,FR,"Abilene, TX"
Andrew Toothman,69,S,5070,245,FR,"Glendora, CA"
Clay Padgett,70,OL,6030,260,FR,"Edmond, OK"
Peyton Bird,71,OL,6040,285,FR,"Eastland, TX"
Kage Hendrix,72,OL,6030,310,FR,"Ennis, TX"
Everett Gunnoe,73,OL,6020,310,FR,"Krum, TX"
Emoree Giddens,74,OL,6040,260,FR,"Lubbock, TX"
Chance Rieken,75,OL,6050,275,SR,"Comfort, TX"
Dakota Laws,76,OL,6040,305,JR,"Denton, TX"
Travaughn Moore,78,OL,6020,315,SR,"Tyler, TX"
Riley Mayfield,79,OL,6070,290,JR,"Cedar Park, TX"
Chase Cokley,80,WR,6010,200,SO,"Austin, TX"
Jackson Pace,81,TE,6040,220,FR,"Texarkana, TX"
David Forrister,82,PK,5060,170,SO,"Llano, TX"
Remington Lutz,83,TE,6060,205,FR,"Temple, TX"
Liam Flowers,84,TE,6020,225,JR,"Grand Prairie, TX"
Oscar Hernandez,85,PK,5110,180,FR,"Abilene, TX"
Will Jackson,85,WR,5080,160,FR,"Merkel, TX"
Hunter Lees,86,WR,5110,190,JR,"Boerne, TX"
Josh Fink,87,WR,5110,180,SO,"Coppell, TX"
Trevor Crain,88,FB,6000,230,SR,"El Dorado, KS"
Cole Yeatts,89,PK,5090,170,FR,"Frisco, TX"
Cole Burgess,91,DT,6010,260,SO,"North Richland Hills, TX"
Dante Hibbert,92,DT,6040,340,JR,"Loganville, GA"
Dewan Edmonson,93,DT,6000,280,SR,"Pearland, TX"
Reynel Previlon,94,DE,6020,230,SO,"Carrollton, TX"
Makoni Pole,95,DT,6000,280,FR,"Euless, TX"
Devondrick Meadows,97,DL,6050,310,JR,"Lubbock, TX"
Temisan Kuyatsemi,98,DE,6050,245,SO,"Houston, TX"
