Name,Number,Position,Height,Weight,Class,Hometown
Derek Albers,--,DE,6000,227,FR,"New Braunfels, TX"
Cedric Battle,--,RB,5100,180,JR,"Wichita Falls, TX"
Madison Bunch,--,CB,5110,166,FR,"Roland, OK"
Samuel Colbert,--,TE,6010,240,SO,"Greenbrier, AR"
Lawrence Collins,--,DE,6000,246,FR,"Garland, TX"
William Elliott,--,DL,6010,270,FR,"Sherwood, AR"
Matthew Foster,--,OL,6010,288,FR,"Vilonia, AR"
Nick Galuppo,--,WR,6010,180,FR,"Coral Gables, FL"
Evan Green,--,DB,6000,190,FR,"Sweeny, TX"
Ethan Harvey,--,OL,6040,280,FR,"Shreveport, LA"
Isaiah Macklin,--,DB,5100,176,JR,"Lenexa, KS"
Johvoni McClendon,--,DB,6000,190,FR,"Little Rock, AR"
Kevin Momnohin,--,RB,5080,192,JR,"North Arlington, NJ"
Kayland North,--,DL,5090,267,SO,"Dickinson, TX"
Jamison Patterson,--,TE,5100,214,FR,"Marion, AR"
Jeremiah Reece,--,DB,5100,185,FR,"Humble, TX"
Kylan Robinson,--,WR,6020,180,FR,"Batesville, AR"
Jaylin Small,--,DB,5110,200,FR,"Jonesboro, AR"
Hunter Toomey,--,DE,6010,238,SO,"Middleburg, FL"
Cameron Venzant,--,WR,5060,185,FR,"Camden, AR"
Seth Wiley,--,LS,6000,248,FR,"Collierville, TN"
Tremon Smith,1,CB,6000,190,SR,"Anniston, AL"
Michael Ware,2,DB,5110,180,JR,"Vicksburg, MS"
Brandon Cox,3,WR,5090,166,SR,"Conway, AR"
Roman Gordon,4,WR,6020,184,SR,"Fort Worth, TX"
Jakari Dillard,5,WR,6050,206,JR,"Princeton, TX"
Jose Moore,6,WR,6020,215,SR,"Southaven, MS"
Kirk Baugh,7,QB,6020,222,JR,"White Hall, AR"
Tavion Garrison,8,DB,5110,195,SR,"Little Rock, AR"
Robert Rochell,9,DB,6020,172,FR,"Shreveport, LA"
James Graves,10,LB,6010,238,SR,"Bassfield, MS"
Jaylon Lofton,11,CB,6010,177,SR,"Forest, MS"
Hayden Hildebrand,12,QB,6030,192,SR,"Bossier City, LA"
Breylin Smith,13,QB,6030,200,FR,"Conway, AR"
Hunter Eskola,14,QB,6020,172,FR,"Little Rock, AR"
Leandre Rucks,14,DB,6060,190,FR,"Strong, AR"
Chandler Dexter,15,TE,6060,255,SR,"Luka, MS"
Trai Mosley,16,DB,5100,168,SO,"Pflugerville, TX"
Lester Wells,17,WR,5110,177,JR,"Natchez, MS"
Luke Hales,18,QB,6020,224,FR,"Greenwood, AR"
Kolt Harfield,19,QB,6070,224,SO,"Sugar Land, TX"
Keshawn Ledet,20,RB,5100,214,SO,"Missouri City, TX"
Carlos Blackman,23,RB,6010,240,SO,"Gosnell, AR"
Deandre McGill,24,LB,5100,208,SO,"Wynne, AR"
Juan Jackson,25,DB,5110,184,SO,"Gardendale, AL"
Vincent Butler,26,RB,5080,174,FR,"Brandon, MS"
Kierre Crossley,26,RB,5080,168,FR,"Everman, TX"
Brandon Northcross,27,WR,6000,185,SO,"Ashdown, AR"
Jarvis Price,27,DB,6000,200,SO,"Monroe, LA"
Chris Chambers,28,LB,6020,230,SR,"Pearl, MS"
