Name,Number,Position,Height,Weight,Class,Hometown
Isaiah Hall,1,WR,6010,205,SR,"Burleson, TX"
Patrick Wolfe,1,S,6000,170,FR,"Saint Amant, LA"
Brandon Taylor,2,WR,5090,165,SR,"Antioch, TN"
Taaron Timmons,2,DE,6040,230,SR,"Houston, TX"
La'Travien Gee,3,S,6020,185,SR,"Houston, TX"
Coleman Robinson,3,RB,6030,220,FR,"Buffalo, TX"
Ethan Beek,4,CB,6000,185,FR,"Katy, TX"
David Racine,4,WR,6030,205,JR,"Round Rock, TX"
B.J. Kelly,5,RB,5090,195,SR,"New Orleans, LA"
Nicholas Smith,5,DB,6020,185,SO,"Gilmer, TX"
Kameron Pryor,6,WR,6000,185,FR,"Houston, TX"
Ethan Fry,7,WR,6010,190,SR,"Cedar Park, TX"
Taylor Holmes,7,LB,6020,220,SR,"Cypress, TX"
Raphael Lewis,8,CB,6000,182,JR,"Elk Grove, CA"
Terrance Peters,8,RB,5080,190,SR,"Houston, TX"
James Brown,9,RB,5090,180,FR,"Houston, TX"
Andrew Haidet,10,QB,6040,215,FR,"Plano, TX"
Greg Vincent,10,DT,6020,265,SO,"Deer Park, TX"
Raymond Randle,11,LB,6010,225,FR,"Katy, TX"
Bailey Zappe,11,QB,6020,180,FR,"Victoria, TX"
Myles Baker,12,CB,5100,160,FR,"Stafford, TX"
Jaylon Johnson,12,WR,6040,194,FR,"Spring, TX"
Derek Broussard,13,CB,5090,180,SR,"Beaumont, TX"
Jack Swenson,13,QB,6000,205,SO,"Austin, TX"
Cameron Nowell,14,QB,6010,184,FR,"Georgetown, TX"
Quentin Peeples,15,LB,6020,230,FR,"Leesburg, FL"
Will Shealy,15,WR,6010,170,FR,"Katy, TX"
Michael Massarella,16,QB,6030,220,FR,"Houston, TX"
D'Angelo Wallace,16,CB,5090,157,JR,"Cibolo, TX"
Dennis Houston,17,WR,6010,177,FR,"SAN ANTONIO, TX"
Jesse Crebbe,18,QB,6010,190,FR,"Missouri City, TX"
Marlon Wilkins,18,S,5100,186,SO,"Harvey, LA"
Dominique Barnett,19,CB,6010,192,SR,"Houston, TX"
Trevor Larkin,19,WR,6010,190,FR,"Crosby, TX"
LaDarius Dickens,20,RB,5100,195,FR,"Rowlett, TX"
Jaylen Samuels,20,CB,5070,150,FR,"Richmond, TX"
Chris Hardeman,21,CB,5090,185,SR,"Houston, TX"
Cody Moncure,22,LB,6020,225,SR,"Richmond, TX"
Coi Miller,23,CB,6000,180,FR,"Arlington, TX"
Taylor Thompson,24,S,5110,175,SR,"Bellville, TX"
Kyle Bowling,25,LB,6010,215,JR,"Katy, TX"
Gamar Girdy,26,RB,5090,190,FR,"Victoria, TX"
Tyler Kelly,27,TE,6040,230,JR,"Fort Worth, TX"
Dreshawn Minnieweather,28,RB,6000,215,FR,"Mesquite, TX"
