Name,Number,Position,Height,Weight,Class,Hometown
Greg Lemon,3,LB,6020,245,SR,"Sweeny, TX"
Cam Johnson,4,WR,6000,178,FR,"North Richland Hills, TX"
Breylann McCollum,5,WR,6010,207,SR,"Cibolo, TX"
Lamont Johnson,6,WR,6000,170,JR,"Desoto, TX"
Dorland Fields,7,RB,5090,195,JR,"Sweeny, TX"
Quandre Washington,8,LB,6010,226,SR,"Katy, TX"
Marquis Lawson,11,CB,5090,165,SO,"Los Angeles, CA"
Jeilyn Williams,13,CB,5090,170,SR,"SAN ANTONIO, TX"
Taylor Laird,15,QB,6040,225,SR,"Roseville, CA"
Daryl Brooks,16,WR,6040,205,SR,"Teague, TX"
Sean Hoeferkamp,17,S,6010,205,SR,"Austin, TX"
Keshon Leonard,20,RB,5070,170,JR,"Richmond, TX"
Desmond Hite,21,RB,5090,178,SO,"Cypress, TX"
Jamari Gilbert,22,WR,6020,200,SR,"Baytown, TX"
Kyle Covington,23,CB,6020,180,SO,"The Colony, TX"
Chris Thomas,24,S,6020,185,SO,"Houston, TX"
Robert Hayes Jr.,26,S,6020,185,SO,"Slidell, LA"
Randalle Williams-Diaz,31,CB,6000,175,JR,"Aubrey, TX"
Jamarkese Williams,32,CB,6030,190,JR,"Temple, TX"
Mar'kel Cooks,34,LB,6000,215,SO,"Irving, TX"
Jawun Jiles,35,S,5100,193,JR,"Farmerville, LA"
Alejandro Lugo,37,PK,5080,160,SO,"San Benito, TX"
Tim McCoy,38,S,5100,190,JR,"HOLLY LAKE RANCH, TX"
James Liker,39,PK,6010,200,SR,"Killeen, TX"
Cody Seidel,41,P,6020,210,JR,"Keller, TX"
Shaquirius Miller,45,CB,5100,185,FR,"Lewisville, TX"
Phillip Higgins,46,DE,6000,260,SO,"Sweeny, TX"
George Schwanenberg,50,LB,5110,220,SR,"Bulverde, TX"
Israel Acuay,52,LB,6020,238,JR,"Wylie, TX"
Corey Lee,54,DE,6000,280,SR,"Humble, TX"
Darrius Montgomery,55,DE,6020,260,JR,"Baytown, TX"
Devyn Jensen,57,OL,6030,285,SR,"Port Lavaca, TX"
West Lambert,59,LB,6000,230,SO,"Wimberley, TX"
Matthew Swanson,60,LS,6000,225,SO,"SAN ANTONIO, TX"
Draven Taylor,61,OL,6020,292,SR,"Dallas, TX"
Tyler Preston,63,OL,6030,300,JR,"Georgetown, TX"
Roberto Limon,64,OL,6030,315,JR,"Port Lavaca, TX"
Levi Swang,66,OL,6050,280,FR,"Tomball, TX"
Ryan Carlson,70,OL,6070,260,FR,"Valley Mills, TX"
Brandon Floores,72,OL,6040,280,SO,"La Vernia, TX"
Noah Moreno,73,DE,6010,250,SO,"Fort Worth, TX"
Cameron Wilson,74,OL,6050,300,SO,"Pearland, TX"
Jeremy Jones,75,OL,6050,287,SO,"SAN ANTONIO, TX"
Austin Jennings,76,OL,6040,295,SR,"SAN ANTONIO, TX"
Terence Hickman II,77,OL,6030,260,SO,"Converse, TX"
Uzoma Okere,78,OL,6020,260,FR,"Grand Prairie, TX"
Mark Palacios Jr.,79,OL,6020,290,FR,"Helotes, TX"
Colby Anthony,80,WR,5100,180,SO,"Katy, TX"
Kody Edwards,81,WR,6000,165,SR,"Mesquite, TX"
Travis Quillin,83,TE,6020,220,SO,"SAN ANTONIO, TX"
Anthony Marciano,85,WR,6000,185,JR,"SAN ANTONIO, TX"
Kevin Stone,86,WR,5100,160,SO,"SAN ANTONIO, TX"
Ethan Gonzalez,88,WR,5110,177,JR,"SAN ANTONIO, TX"
John Myers,89,TE,6060,250,SO,"Richmond, TX"
Matthew Yarbrough,90,DE,6000,279,SO,"Rowlett, TX"
Blake Klumpp,92,LB,6030,235,JR,"SAN ANTONIO, TX"
Jordan Collins,95,NT,5100,299,SR,"League City, TX"
John Williams,96,NT,6030,290,JR,"Spring, TX"
Jawara Beasley,98,DE,6030,247,SR,"League City, TX"
