Name,Number,Position,Height,Weight,Class,Hometown
Zae Giles,1,WR,5090,153,JR,"Austin, TX"
Andrew Allen,2,QB,6000,215,SR,"Texas City, TX"
Jaylon Bowden,3,DB,6000,192,SR,"Missouri City, TX"
Jack Dallas,3,QB,5110,180,FR,"Orange, TX"
Dewan Thompson,4,WR,5070,172,JR,"Los Angeles, CA"
Derrion Randle,5,RB,5100,200,SO,"Navasota, TX"
Marcus Daggs,6,WR,6020,191,SR,"Waxahachie, TX"
Tyris Williams,7,LB,6020,225,FR,"Liberty, TX"
Detrick Bell,8,LB,6000,215,FR,"Houston, TX"
Blake McKenzie,8,QB,6030,212,SR,"Corpus Christi, TX"
Kendrick King,9,WR,5100,172,SO,"Beaumont, TX"
Davon Jernigan,10,DB,6000,184,JR,"Navasota, TX"
Chaston Brooks,11,LB,6010,211,JR,"Tatum, TX"
Case Robinson,12,TE,6010,208,SO,"Crockett, TX"
Caleb Abrom,13,DB,6000,174,SO,"Desoto, TX"
JoJo Henderson,13,DB,6020,195,SO,"Salt Lake City, UT"
Caisen Sullivan,14,WR,6010,185,FR,"Port Neches, TX"
Markell Hawthorne,15,RB,5110,188,FR,"Iowa, LA"
Matt Tillett,16,WR,5100,183,SR,"Mont Belvieu, TX"
Josh Jinning,17,LB,6020,200,FR,"The Colony, TX"
Adam Morse,17,QB,6010,211,SO,"Groves, TX"
Dorian Gaston,19,WR,6020,195,JR,"Ripley, MS"
Rodney Randle,20,DB,5100,179,JR,"Beaumont, TX"
Nate Jones,21,DB,5110,185,JR,"Mansfield, TX"
Myles Wanza,22,RB,5090,180,FR,"Houston, TX"
Kirkland Banks,23,WR,5100,170,FR,"Lake Charles, LA"
Tanner Douglas,24,WR,5100,175,FR,"Gibsonia, PA"
Shyler Staton,25,DB,5110,153,SO,"Missouri City, TX"
Tariq Gordon,26,DB,6000,175,SO,"Southlake, TX"
Emmanuel Atoyebi,27,RB,6000,205,JR,"Houston, TX"
Cardell Lue,27,DB,6000,185,SR,"Carrollton, TX"
Darius Guillory,28,DB,5090,175,FR,"Winnie, TX"
Kevin Bell,29,RB,5100,198,JR,"Duncanville, TX"
Dedrick Garner,30,LB,6020,242,JR,"Fairfield, TX"
Elvin Martinez,31,PK,5090,168,FR,"Huntsville, TX"
William McVay,32,DB,5110,204,SO,"Santa Fe, TX"
Lonnie Alford Jr.,33,DE,6020,220,FR,"Texas City, TX"
Abel Daily,34,LB,6000,195,FR,"College Station, TX"
Cameron Hampton,35,LB,6020,206,JR,"Dallas, TX"
Cameron Minger,36,LB,6000,187,SO,"Dallas, TX"
Kyle Kruchten,37,LB,6000,220,FR,"The Woodlands, TX"
Donovon Jackson,38,DE,6000,220,FR,"Dayton, TX"
Shawn Jones,40,LB,6010,200,SO,"Jasper, TX"
Del'chaun Rushing,41,LB,6000,201,SO,"Webster, TX"
Reggie Boseman,42,DE,6020,250,FR,"Beaumont, TX"
James Jeffery,43,DE,6030,234,SO,"Houston, TX"
Titus Hunt,44,LB,6020,203,SO,"Duncanville, TX"
Jose Rossi,45,LB,5110,220,FR,"Katy, TX"
Tanner Kanteman,47,LB,6020,210,SR,"Simi Valley, CA"
David Crosley,49,LB,6010,240,FR,"Deridder, LA"
Christian Langston,50,S,6020,198,FR,"Port Neches, TX"
Zach Roberts,54,S,6010,203,JR,"Magnolia, TX"
Manasseh Miles,56,DE,6000,240,SR,"Houston, TX"
Britton Larkin,57,LB,5110,230,FR,"Houston, TX"
Chase Bridgeman,58,OL,6040,276,FR,"Crosby, TX"
Seth Adams,62,G,6000,294,JR,"Silsbee, TX"
Connor Ward,63,OL,6030,298,SR,"Bryan, TX"
Humberto Lopez,64,OL,6060,295,FR,"Austin, TX"
J.T. Vongor,65,OL,6020,315,FR,"Grand Prairie, TX"
Jesse Brewster,66,OL,6070,311,SO,"Friendswood, TX"
Matthew Oubre,69,OL,6020,295,SR,"Dayton, TX"
Colton Peterson,70,OL,6040,300,FR,"Tomball, TX"
Joshua Persohn,71,OL,6020,253,SO,"Sour Lake, TX"
Ethan Cothen,72,OL,6040,280,SO,"Beaumont, TX"
Micah McComb,74,OL,6050,300,FR,"El Campo, TX"
Corey Nance,75,OL,6070,286,SO,"Liberty, TX"
Hayden Kaaiohelo,77,OL,6050,287,SO,"Edmond, OK"
Martell Hawthorne,80,WR,6040,204,JR,"Lake Charles, LA"
Shane Hudson,81,WR,6020,173,FR,"Crosby, TX"
Trenton Swinton,82,WR,6000,182,JR,"Port Arthur, TX"
Mason Sikes,83,TE,6040,249,FR,"Lumberton, TX"
Isaiah Howard,84,WR,6040,210,JR,"Fulton, MS"
Garrison Spring,86,WR,6000,180,FR,"Austin, TX"
Jarod Wood,87,TE,6030,225,JR,"Kilgore, TX"
Sam McGee,89,TE,6030,224,SO,"Beaumont, TX"
Daniel Crosley,90,DE,6010,242,SO,"Deridder, LA"
Dyllan Barlow,91,G,6000,240,JR,"Simi Valley, CA"
Brandon Arnold,99,DE,6020,250,FR,"Spring Branch, TX"
