Name,Number,Position,Height,Weight,Class,Hometown
Damontrion Brunson,--,RB,5080,165,FR,"Gray, LA"
Rejean Wright,--,DB,5100,180,FR,"Harvey, LA"
Christian Boutte,1,DB,6000,190,SR,"Opelousas, LA"
Damion Jeanpiere Jr.,3,WR,6010,185,JR,"Kenner, LA"
Tyler Green,4,DB,6000,175,JR,"Gonzales, LA"
Chris Major,5,DB,6010,195,JR,"White Castle, LA"
Cole Spear,6,DB,6020,200,JR,"Denham Springs, LA"
Christian Booker,7,WR,6030,190,SO,"Gentilly, LA"
Tuskani Figaro,8,QB,6030,220,SR,"San Diego, CA"
Chase Fourcade,9,QB,6000,190,SO,"Metairie, LA"
Charles Brooks,10,QB,6000,190,SO,"Baton Rouge, LA"
Jarrell Rogers,11,WR,5100,180,SR,"Baton Rouge, LA"
Joel Dullary,12,DB,6010,185,JR,"New Orleans, LA"
Mason Roberts,13,WR,5090,185,JR,"Cypress, TX"
Arron McKenney,14,WR,6030,180,FR,"Saint James, LA"
Kohen Granier,15,QB,6010,190,FR,"Destrehan, LA"
Anfernee Poindexter,15,DB,5100,180,FR,"Raceland, LA"
Nick Conley,16,QB,6020,200,JR,"Jackson, MS"
Stephen LeBouef,17,TE,6030,235,SR,"Thibodaux, LA"
Jordan Talley,18,TE,6030,245,SO,"Clinton, LA"
Tyler St. Germain,19,P,6020,195,SR,"White Castle, LA"
Mikey Corcoran,20,LB,6000,225,SO,"Westwego, LA"
Jay Jay Smith,21,DB,6020,205,JR,"Gulfport, MS"
Jeremy Rounds,22,RB,5100,180,SO,"Gray, LA"
Michael Mosley,23,LB,5100,205,FR,"New Orleans, LA"
Darren Evans,24,DB,6030,180,FR,"Baton Rouge, LA"
Laryon James,25,LB,6000,210,SO,"Baton Rouge, LA"
Chris Duplantis,26,DB,6000,175,FR,"Chauvin, LA"
Tahj Smith,26,RB,5080,175,FR,"Laplace, LA"
Bryce Broussard,27,PK,5110,150,FR,"Baton Rouge, LA"
Jonavon Lewis,27,DB,5090,180,JR,"Darrow, LA"
Darryl Adams Jr.,28,DB,6020,190,JR,"Cheneyville, LA"
Dontrell Taylor,29,RB,5090,180,SO,"White Castle, LA"
Kyran Irvin,30,RB,6010,220,SO,"Darrow, LA"
Corey Abraham,31,DB,6000,200,JR,"Breaux Bridge, LA"
Mason Boudreaux,32,RB,5100,245,JR,"Cut Off, LA"
Chase Brown,32,DB,5100,180,FR,"Baton Rouge, LA"
Stefano Guarisco,33,WR,5080,175,SO,"Berwick, LA"
Curtis Anderson,34,WR,6000,190,FR,"Houma, LA"
Khristian Mims,34,DB,6000,180,SO,"Baton Rouge, LA"
Donnell Adair,35,RB,6000,190,FR,"Thibodaux, LA"
Jamal Walters,35,DB,5110,175,FR,"New Orleans, LA"
Aquindas Steib,36,LB,5110,220,FR,"Saint James, LA"
Kazmi Antoine,37,LB,5110,195,FR,"Belle Chasse, LA"
Kevin Johnson,38,DB,6020,195,FR,"New Orleans, LA"
Adrian Richardson,39,LB,6000,205,JR,"New Orleans, LA"
Garret LeBlanc,40,TE,6020,235,SO,"Morgan City, LA"
Grid Isidore Jr.,41,DB,6000,170,FR,"Slidell, LA"
Patrick Riley,43,DL,6050,205,SO,"Marrero, LA"
Ahmani Martin,44,DB,5100,185,JR,"Reserve, LA"
Austin Dickerson,45,DB,5090,170,SO,"Kenner, LA"
Allen Pittman,47,LB,5110,215,SO,"Saint Rose, LA"
Evan Veron,48,LB,6000,215,SO,"Laplace, LA"
Lorran Fonseca,49,PK,5110,185,JR,"Hercules, CA"
Nathan Scott,49,DB,5090,165,FR,"Baton Rouge, LA"
Brandon Godfrey,52,OL,6040,290,SR,"Kenner, LA"
Caleb Seitz,52,LB,6010,205,FR,"Houma, LA"
Dominic Brocato,53,LS,5110,235,FR,"Metairie, LA"
Moroni Pointer,54,LB,6010,220,JR,"Baton Rouge, LA"
