Name,Number,Position,Height,Weight,Class,Hometown
Levi Briscoe,--,TE,6020,228,FR,"Houston, TX"
Kenneth Malone,--,LB,6010,210,FR,"Houston, TX"
Derrick Dick,1,WR,5100,186,JR,"College Station, TX"
Erick Fowler,1,LB,6010,240,SO,"Manor, TX"
Tyler Scott,2,WR,5090,185,JR,"Red Oak, TX"
Eric Schmid,3,QB,6010,165,FR,"The Woodlands, TX"
Tyon Merchant,4,DB,6010,180,FR,"College Station, TX"
George Vaught,4,QB,6030,190,FR,"Montgomery, TX"
Marquis Bates,5,WR,6050,211,SO,"Edna, TX"
Lutavious Boone,5,DB,5110,183,FR,"Huntsville, TX"
Corey Avery,6,RB,5100,195,SR,"Dallas, TX"
Adrian Contreras,7,S,5100,200,JR,"Georgetown, TX"
Caleb Griffin,8,QB,6030,240,SO,"Keller, TX"
Yedidiah Louis,9,WR,5080,180,SR,"New Orleans, LA"
Alfonzo McMillian,10,S,6010,205,SR,"Oklahoma City, OK"
Ty Brock,11,QB,6040,200,FR,"College Station, TX"
Daniel Adams,13,WR,5110,178,SO,"Jasper, TX"
Davion Davis,14,WR,5110,180,JR,"Hutto, TX"
Coree Compton,15,WR,6030,187,SO,"Garland, TX"
Jeremiah Briscoe,16,QB,6030,225,SR,"Houston, TX"
Grant Finney,17,WR,5110,173,SR,"Allen, TX"
Craig Williams,18,DB,5090,175,JR,"New Orleans, LA"
Jordan Brown,20,RB,5090,164,JR,"Charlotte, NC"
Bryan Henderson,21,CB,5100,192,SO,"Mesquite, TX"
Zyon McCollum,22,DB,6030,180,FR,"Galveston, TX"
Tristin McCollum,23,DB,6010,182,FR,"Galveston, TX"
Javin Webb,24,RB,5090,205,JR,"Shreveport, LA"
Hunter Brown,25,LB,6010,225,JR,"Weston, FL"
Kyran Jackson,26,RB,5080,180,FR,"Fort Worth, TX"
Joshua Price,27,S,5100,205,SR,"Missouri City, TX"
Anthony Johnson,28,CB,6010,205,JR,"Cibolo, TX"
Danzell Sims,29,LB,6010,200,FR,"Dallas, TX"
Carlos Teal,31,CB,5110,180,SR,"Diboll, TX"
