Name,Number,Position,Height,Weight,Class,Hometown
Darby Baldwin,--,WR,6020,185,FR,"Beaumont, TX"
Cristian Benavidez,--,DT,6010,290,JR,"Pasadena, TX"
Logan Burke,--,P,5110,178,FR,"Katy, TX"
Hunter Cabral,--,S,5090,185,SO,"WEST SABINE, TX"
Kyle Cannella,--,LB,6020,210,FR,"Lucas, TX"
Lar'Darion Cobb,--,WR,6030,205,SO,"Dallas, TX"
David Crenshaw,--,WR,6010,195,FR,"Houston, TX"
Jai Edwards,--,S,5100,195,JR,"Humble, TX"
Tony Gilbert II,--,TE,6010,23,FR,"Charleston, IL"
Ryan Harwell,--,PK,6020,170,FR,"Houston, TX"
Hunter Jistel,--,OL,6030,246,FR,"Rockwall, TX"
Hogan Keasler,--,PK,6010,165,FR,"Midlothian, TX"
Nick Langlois,--,OL,6020,260,FR,"Cedar Park, TX"
Brent Maldonado,--,OL,6020,295,FR,"Georgetown, TX"
Jaylon Maxie,--,WR,6000,165,FR,"Nacogdoches, TX"
Drake Moore,--,CB,5100,185,FR,"Katy, TX"
Kyle Murdock,--,PK,5060,150,FR,"Leander, TX"
Jordan Murray,--,CB,5100,165,FR,"Houston, TX"
Mark Reed,--,TE,6010,220,FR,"Palestine, TX"
Dylan Roach,--,LB,6000,200,FR,"Pearland, TX"
Kam Session,--,RB,5080,180,FR,"Mansfield, TX"
Tae Thomas,--,WR,5090,175,SO,"Nacogdoches, TX"
Zach Truelove,--,QB,6030,195,FR,"Shepherd, TX"
Tarrin Mitchell,1,CB,5100,186,JR,"Dallas, TX"
Frank Iheanacho,2,WR,6060,230,JR,"Houston, TX"
Lawrence Ghansah,3,S,6000,195,JR,"Cypress, TX"
Romello Bentley,4,WR,5090,180,JR,"Jacksonville, FL"
Bryce Gemmel,6,LB,6010,210,JR,"Newnan, GA"
Kijana Amous,7,RB,5110,210,SR,"Mansfield, TX"
Trent Perriman,8,CB,5110,184,SR,"Miami, FL"
Trae Hart,9,WR,5110,175,SR,"Mesquite, TX"
